,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.859625,0.608793,0.508598,0.785213,0.907680,0.257769,0.142983,0.013144,0.109962,0.415320,0.777724
1,0.262953,0.512087,0.143183,0.815296,0.504447,0.238782,0.051331,0.228798,0.009124,0.398072,0.889365
2,0.888297,0.444075,0.278120,0.937934,0.277428,0.101814,0.150930,0.264480,0.353819,0.148040,0.325141
3,0.238457,0.936986,0.969263,0.443864,0.948131,0.560693,0.318721,0.294672,0.094739,0.021637,0.192663
4,0.901905,0.228358,0.081441,0.896743,0.160647,0.630754,0.206917,0.155482,0.336674,0.162325,0.346381
5,0.569796,0.105721,0.325476,0.317657,0.589039,0.744907,0.491451,0.536076,0.893169,0.315533,0.549492
6,0.215087,0.086578,0.219427,0.958600,0.149961,0.075189,0.802431,0.084548,0.478115,0.177317,0.844655
7,0.625364,0.762633,0.553833,0.208089,0.493673,0.722540,0.276844,0.420293,0.695336,0.303533,0.078317
8,0.152016,0.620329,0.876715,0.958600,0.777297,0.678074,0.628758,0.248783,0.649550,0.276228,0.423385
9,0.790713,0.424183,0.393070,0.227460,0.438346,0.231884,0.241558,0.125734,0.473078,0.187772,0.020377
10,0.065249,0.204761,0.429357,0.621904,0.290132,0.911465,0.449277,0.407181,0.869945,0.053577,0.956034
11,0.628458,0.691037,0.521462,0.091584,0.546871,0.103682,0.333372,0.716664,0.075725,0.401172,0.074650
12,0.644866,0.824402,0.400940,0.350100,0.618623,0.301241,0.613275,0.753945,0.774615,0.745243,0.307157
13,0.494029,0.161429,0.068028,0.775254,0.104479,0.531491,0.339087,0.362697,0.661642,0.094221,0.786709
14,0.800461,0.371060,0.446205,0.039069,0.254346,0.370345,0.290710,0.813221,0.706758,0.431109,0.075443
15,0.820921,0.076828,0.173567,0.099318,0.105084,0.367456,0.367620,0.650301,0.584474,0.266701,0.986485
16,0.012044,0.043598,0.049801,0.876244,0.035102,0.255497,0.240142,0.731619,0.918002,0.323884,0.721495
17,0.515471,0.032419,0.313726,0.765331,0.241611,0.435777,0.786287,0.155362,0.318497,0.149412,0.914517
18,0.388955,0.401931,0.453714,0.677932,0.350623,0.175078,0.142081,0.660118,0.426177,0.971942,0.756640
19,0.506302,0.248456,0.472299,0.855828,0.368418,0.265543,0.532146,0.235956,0.479327,0.109654,0.304054
20,0.832766,0.770513,0.540511,0.004860,0.801250,0.523280,0.903489,0.330551,0.404625,0.092958,0.231322
