,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.499671,0.901443,0.527372,0.886484,0.562031,0.475079,0.385361,0.026900,0.534677,0.546555,0.385281
1,0.617663,0.660666,0.960786,0.927617,0.644774,0.399571,0.201654,0.850221,0.271999,0.797112,0.020712
2,0.720912,0.960135,0.698997,0.499777,0.742838,0.268180,0.016476,0.367808,0.486604,0.000189,0.018905
3,0.957228,0.629361,0.422126,0.005705,0.331971,0.466230,0.014672,0.623004,0.753509,0.035726,0.320851
4,0.570074,0.275861,0.439835,0.034399,0.249662,0.079479,0.680528,0.217832,0.129316,0.046562,0.006799
5,0.449495,0.811831,0.930997,0.524836,0.878607,0.261393,0.600467,0.558131,0.242753,0.921116,0.481898
6,0.882156,0.462399,0.121129,0.706654,0.349165,0.051285,0.362617,0.653433,0.250225,0.176887,0.974399
7,0.740240,0.026342,0.036658,0.421040,0.020999,0.143599,0.540309,0.517565,0.525004,0.354520,0.060541
8,0.705491,0.385311,0.160939,0.421040,0.196152,0.593359,0.317570,0.249989,0.118998,0.064684,0.540220
9,0.535197,0.633246,0.328036,0.815296,0.324972,0.217722,0.590709,0.275255,0.770145,0.379796,0.351368
10,0.736872,0.622905,0.293542,0.050038,0.656997,0.863436,0.253507,0.188502,0.784294,0.058802,0.571311
11,0.210722,0.888807,0.716268,0.896743,0.845267,0.176541,0.163078,0.403737,0.600289,0.843011,0.766953
12,0.673819,0.264778,0.497073,0.406215,0.286280,0.826694,0.613999,0.435690,0.090795,0.538305,0.444582
13,0.981191,0.607517,0.249149,0.726040,0.383669,0.421848,0.099612,0.803302,0.624975,0.093282,0.310363
14,0.825111,0.603696,0.923831,0.876244,0.677572,0.186163,0.013984,0.715001,0.321855,0.729859,0.006184
15,0.999623,0.135350,0.279633,0.045655,0.295322,0.444808,0.213740,0.172946,0.225366,0.010514,0.097628
16,0.821858,0.484585,0.347271,0.825387,0.847481,0.694125,0.389867,0.805043,0.913963,0.803477,0.257417
17,0.467704,0.038513,0.047303,0.467378,0.039485,0.006937,0.149123,0.694379,0.224675,0.014407,0.969779
18,0.939918,0.836758,0.929237,0.567986,0.816592,0.105862,0.680641,0.056822,0.325770,0.730100,0.756795
19,0.862569,0.526187,0.628067,0.377515,0.453536,0.453003,0.083313,0.510032,0.957907,0.363498,0.874902
20,0.329860,0.625484,0.598617,0.222501,0.337641,0.914219,0.358802,0.096091,0.869945,0.001104,0.045762
21,0.713796,0.668561,0.525003,0.927617,0.871920,0.167362,0.163206,0.667670,0.363126,0.499021,0.479802
22,0.909541,0.032419,0.035965,0.845655,0.021476,0.486193,0.021806,0.253626,0.948523,0.523328,0.370215
23,0.269393,0.151383,0.452636,0.157194,0.248501,0.657558,0.137105,0.365323,0.175186,0.642069,0.217275
24,0.626576,0.499365,0.421100,0.350100,0.356494,0.927261,0.002228,0.402407,0.621658,0.389213,0.138590
25,0.361073,0.260442,0.261881,0.198864,0.207137,0.475261,0.473132,0.350027,0.172720,0.909463,0.126782
26,0.890000,0.026237,0.026975,0.153422,0.050316,0.939854,0.576602,0.918486,0.190106,0.074801,0.104394
27,0.528158,0.302298,0.140094,0.755447,0.241611,0.116558,0.128712,0.633522,0.700119,0.020121,0.196618
28,0.581881,0.599884,0.275111,0.979293,0.650874,0.199494,0.658054,0.550045,0.889964,0.000199,0.192024
29,0.825018,0.756044,0.705637,0.356832,0.957142,0.986791,0.479423,0.394645,0.461636,0.788157,0.072484
30,0.434594,0.681766,0.845262,0.242809,0.656997,0.700473,0.653334,0.399608,0.706758,0.060720,0.987355
31,0.866404,0.349957,0.788760,0.927617,0.441696,0.726746,0.530330,0.926494,0.550749,0.010536,0.019411
32,0.984432,0.899380,0.826891,0.116345,0.788160,0.537940,0.575510,0.681838,0.118939,0.027763,0.187901
33,0.945491,0.675156,0.728227,0.567986,0.465553,0.934506,0.317454,0.722650,0.798936,0.017074,0.778658
34,0.885255,0.269906,0.701652,0.907019,0.435011,0.890813,0.006157,0.702263,0.646312,0.025958,0.877133
35,0.340743,0.997252,0.808022,0.042916,0.719438,0.775885,0.104258,0.289906,0.999594,0.273611,0.948893
36,0.515753,0.714939,0.710952,0.135585,0.671373,0.181764,0.347151,0.877348,0.016836,0.020518,0.875938
37,0.693338,0.930120,0.940286,0.299169,0.986460,0.464697,0.406893,0.087904,0.830302,0.119795,0.460284
38,0.109578,0.847668,0.491372,0.153422,0.502643,0.711539,0.229950,0.707448,0.797107,0.864742,0.005474
39,0.963985,0.991480,0.965777,0.217619,0.760008,0.219792,0.465724,0.326924,0.958849,0.013218,0.011973
40,0.983673,0.860694,0.577252,0.640358,0.755704,0.165938,0.011909,0.723465,0.548339,0.009729,0.821191
41,0.902590,0.110305,0.329751,0.323983,0.330564,0.647064,0.794311,0.384807,0.522623,0.882013,0.483567
42,0.669832,0.404916,0.545334,0.716324,0.517173,0.178347,0.899981,0.737027,0.091019,0.186345,0.766263
43,0.819323,0.851256,0.399950,0.287251,0.533775,0.767236,0.666894,0.351686,0.352224,0.040528,0.446860
44,0.124230,0.489103,0.418031,0.132217,0.581261,0.771478,0.638163,0.570749,0.784482,0.042230,0.088153
45,0.716096,0.753404,0.949639,0.142517,0.704681,0.093194,0.520268,0.726198,0.770145,0.056577,0.594480
46,0.196882,0.583497,0.307156,0.007223,0.368418,0.414258,0.121870,0.973115,0.913963,0.091625,0.012792
47,0.604185,0.899380,0.425215,0.281413,0.583201,0.585339,0.838547,0.629184,0.108488,0.394335,0.505195
48,0.892619,0.495929,0.625484,0.677932,0.880838,0.497792,0.366734,0.884557,0.031947,0.100897,0.310345
49,0.986792,0.137921,0.083407,0.855828,0.075227,0.753212,0.270457,0.973489,0.600289,0.211668,0.056500
50,0.332025,0.131984,0.105030,0.745603,0.087568,0.179149,0.013536,0.165571,0.822825,0.104200,0.823196
51,0.672663,0.996801,0.986941,0.177118,0.948131,0.589214,0.836943,0.386137,0.090731,0.016977,0.770973
52,0.369272,0.556274,0.335806,0.825387,0.766478,0.562118,0.102843,0.205886,0.278829,0.004930,0.452587
53,0.594169,0.907525,0.893087,0.907019,0.665197,0.426865,0.008630,0.110682,0.641873,0.282344,0.857534
54,0.811295,0.124662,0.126661,0.612765,0.107534,0.129397,0.915169,0.916228,0.854056,0.225739,0.258937
55,0.888297,0.716268,0.886644,0.208089,0.847481,0.337372,0.157563,0.656904,0.178229,0.391409,0.340908
56,0.641949,0.444075,0.484585,0.621904,0.423453,0.238461,0.175534,0.196737,0.412590,0.282057,0.830056
57,0.303127,0.532128,0.098327,0.168934,0.273691,0.535784,0.573008,0.223985,0.646312,0.976531,0.639072
58,0.631410,0.238241,0.168423,0.135585,0.138315,0.082623,0.933645,0.246889,0.688266,0.349020,0.470557
59,0.610055,0.996428,0.992852,0.649671,0.916652,0.335195,0.032712,0.411943,0.805494,0.000003,0.658426
60,0.979158,0.453714,0.438780,0.785213,0.984204,0.265799,0.189222,0.948361,0.955277,0.533775,0.211566
61,0.300070,0.434575,0.417012,0.467378,0.413691,0.855395,0.006647,0.370883,0.770848,0.405125,0.893197
62,0.986015,0.322085,0.326327,0.094106,0.193232,0.831969,0.692324,0.969532,0.545212,0.858914,0.031088
63,0.672663,0.593557,0.515591,0.384570,0.927882,0.128792,0.027970,0.216108,0.069077,0.204093,0.311560
64,0.558211,0.111386,0.063622,0.937934,0.163192,0.975638,0.872230,0.501455,0.108488,0.139088,0.867094
65,0.276968,0.765263,0.626775,0.726040,0.504447,0.588796,0.936059,0.062735,0.816049,0.122358,0.102666
66,0.686803,0.423154,0.429357,0.311413,0.993230,0.820570,0.010400,0.773515,0.795554,0.346261,0.933587
67,0.792356,0.758682,0.216926,0.248084,0.456951,0.688327,0.071964,0.685346,0.461447,0.067134,0.702387
68,0.900336,0.036518,0.031186,0.242809,0.023478,0.581721,0.860598,0.269490,0.383217,0.512484,0.004803
69,0.502351,0.887728,0.683089,0.866025,0.704681,0.878773,0.467535,0.947966,0.352224,0.048011,0.345509
70,0.624151,0.428319,0.474518,0.363646,0.413691,0.743954,0.925268,0.249161,0.805494,0.195825,0.024221
71,0.587828,0.507438,0.497073,0.436178,0.290132,0.888268,0.015031,0.520402,0.587082,0.175872,0.973914
72,0.865783,0.398962,0.370123,0.356832,0.966159,0.120348,0.127940,0.299466,0.073579,0.008043,0.007564
73,0.499107,0.951846,0.947379,0.343449,0.690035,0.903212,0.491170,0.182563,0.885713,0.145936,0.183120
74,0.647510,0.113574,0.542920,0.443864,0.356494,0.381131,0.035614,0.317081,0.386134,0.244551,0.111801
75,0.918380,0.167409,0.334936,0.876244,0.196152,0.386743,0.664379,0.329655,0.703140,0.298155,0.011569
76,0.749076,0.663295,0.963331,0.979293,0.708886,0.484798,0.902759,0.672164,0.650971,0.042542,0.573058
77,0.519984,0.936147,0.957468,0.687457,0.968414,0.778003,0.866851,0.650722,0.869945,0.013648,0.067646
78,0.648566,0.506280,0.384349,0.687457,0.360937,0.144487,0.035270,0.473465,0.047141,0.156952,0.244996
79,0.952688,0.923831,0.659352,0.311413,0.760008,0.427852,0.114396,0.786768,0.132053,0.151531,0.184035
80,0.717424,0.616474,0.553833,0.968944,0.500842,0.131024,0.947347,0.148227,0.545212,0.830298,0.412399
81,0.426972,0.257582,0.222584,0.594666,0.195176,0.526184,0.527012,0.197739,0.542288,0.028615,0.383888
82,0.498401,0.996680,0.996919,0.726040,0.889772,0.284749,0.018625,0.041656,0.993963,0.012809,0.099625
83,0.662451,0.226420,0.407917,0.745603,0.217503,0.853873,0.380497,0.513647,0.463936,0.724181,0.688874
84,0.463073,0.316216,0.210774,0.755447,0.177286,0.843115,0.746051,0.785124,0.231890,0.016220,0.460616
85,0.943296,0.382430,0.247765,0.017553,0.816592,0.709143,0.294009,0.791866,0.937446,0.001339,0.100848
86,0.598293,0.431439,0.201219,0.585710,0.233745,0.547839,0.419848,0.801211,0.445661,0.501364,0.632877
87,0.748621,0.918238,0.464587,0.110431,0.600794,0.472326,0.205566,0.192065,0.625593,0.099074,0.286765
88,0.585341,0.624194,0.573521,0.937934,0.954889,0.519768,0.401698,0.923042,0.062416,0.713104,0.239088
89,0.418967,0.266235,0.542920,0.343449,0.352085,0.184319,0.025434,0.500044,0.747022,0.021406,0.108478
90,0.968429,0.889883,0.819398,0.428570,0.932378,0.506385,0.818253,0.683337,0.770848,0.049653,0.666422
91,0.969523,0.276612,0.231616,0.428570,0.260287,0.108023,0.131322,0.032059,0.992201,0.122761,0.439551
92,0.858338,0.873339,0.676477,0.640358,0.827594,0.006178,0.151654,0.224964,0.742506,0.816644,0.087759
93,0.337399,0.299891,0.062727,0.687457,0.475992,0.175955,0.038132,0.654704,0.412961,0.782189,0.372993
94,0.505737,0.025722,0.168932,0.336879,0.085490,0.383986,0.197231,0.574500,0.152627,0.115495,0.913224
95,0.926356,0.284212,0.550182,0.413588,0.704681,0.380652,0.157076,0.596592,0.461447,0.343269,0.331651
96,0.957162,0.705637,0.377662,0.917311,0.692120,0.999800,0.330089,0.013740,0.490769,0.394448,0.146328
97,0.789785,0.499365,0.716268,0.198864,0.807816,0.735626,0.001164,0.354633,0.664131,0.742775,0.207713
98,0.918052,0.619043,0.434575,0.014175,0.451834,0.962463,0.970831,0.787546,0.695336,0.569142,0.645393
99,0.991625,0.986612,0.937819,0.232498,0.753555,0.278671,0.297122,0.185648,0.928672,0.037097,0.036604
100,0.858016,0.369189,0.782269,0.084341,0.481259,0.046282,0.043612,0.038628,0.542823,0.050566,0.857861
101,0.618612,0.060535,0.063173,0.305250,0.033658,0.873396,0.027127,0.107685,0.391381,0.145794,0.947172
102,0.772360,0.162908,0.464587,0.248084,0.583201,0.829404,0.017853,0.556722,0.734515,0.230264,0.135574
103,0.825295,0.434575,0.340182,0.755447,0.477744,0.247906,0.583410,0.788485,0.930193,0.248208,0.646197
104,0.438623,0.346379,0.586005,0.096684,0.753555,0.831738,0.633741,0.257031,0.817320,0.876487,0.967313
105,0.644733,0.114682,0.245014,0.293169,0.273691,0.972713,0.117009,0.668144,0.014065,0.682548,0.284476
106,0.999292,0.465683,0.152786,0.436178,0.562031,0.039544,0.159035,0.584623,0.363418,0.018586,0.612177
107,0.860185,0.383388,0.427283,0.876244,0.950383,0.457117,0.186227,0.069391,0.646312,0.081453,0.125113
108,0.424623,0.355375,0.172011,0.795208,0.204098,0.821939,0.125435,0.005012,0.089036,0.011469,0.104953
109,0.261129,0.516762,0.767890,0.491567,0.781637,0.132376,0.372635,0.932239,0.773291,0.152346,0.110710
110,0.727706,0.907525,0.664610,0.025604,0.721555,0.776875,0.295037,0.470002,0.606684,0.058438,0.093094
111,0.549387,0.852446,0.878948,0.067271,0.715211,0.715337,0.046114,0.035620,0.999594,0.110618,0.317242
