,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.806710,0.456958,0.569802,0.697031,0.315334,0.477131,0.395137,0.447631,0.955277,0.731097,0.984382
1,0.977729,0.230308,0.120742,0.281413,0.762163,0.198477,0.569859,0.860800,0.363446,0.644867,0.180315
2,0.405934,0.205952,0.186431,0.775254,0.961650,0.110708,0.006832,0.017018,0.179751,0.063937,0.399616
3,0.219608,0.326327,0.365468,0.024759,0.245039,0.098921,0.000011,0.000000,0.220324,0.163769,0.885937
4,0.573970,0.978846,0.799076,0.594666,0.628626,0.080139,0.064502,0.001290,0.235205,0.731921,0.102684
5,0.051633,0.717597,0.361774,0.825387,0.539368,0.281040,0.004068,0.002097,0.023559,0.229538,0.561157
6,0.926103,0.611349,0.546544,0.687457,0.357971,0.646726,0.644842,0.138909,0.078733,0.168744,0.331223
7,0.434594,0.065216,0.091066,0.603685,0.058086,0.851064,0.120342,0.007250,0.186143,0.979230,0.973271
8,0.996766,0.059251,0.330611,0.082032,0.179109,0.316114,0.044306,0.119560,0.952845,0.012597,0.023033
9,0.137983,0.901443,0.522640,0.041600,0.669312,0.506387,0.005762,0.053145,0.797107,0.736237,0.521958
10,0.529426,0.753404,0.583497,0.089116,0.854133,0.440243,0.901143,0.007177,0.739659,0.677537,0.263368
11,0.749076,0.005932,0.017852,0.726040,0.009496,0.979370,0.093076,0.057661,0.916354,0.224285,0.585061
12,0.817146,0.845262,0.884464,0.907019,0.961650,0.732120,0.054195,0.007702,0.429079,0.235975,0.533651
13,0.411272,0.885556,0.754724,0.232498,0.880838,0.780442,0.614107,0.291927,0.287312,0.646782,0.619132
14,0.721990,0.118059,0.152317,0.755447,0.098575,0.333060,0.124105,0.202438,0.872585,0.387328,0.482252
15,0.941032,0.664610,0.968697,0.716324,0.700485,0.361491,0.537788,0.655201,0.473891,0.749421,0.058282
16,0.410587,0.292756,0.346379,0.428570,0.324972,0.465938,0.087797,0.039537,0.879718,0.911008,0.345780
17,0.484726,0.291971,0.167409,0.020179,0.156471,0.987288,0.001746,0.007524,0.664131,0.772972,0.546992
18,0.701176,0.271386,0.088948,0.594666,0.207137,0.852720,0.023154,0.039208,0.054449,0.850150,0.147691
19,0.513355,0.428319,0.404916,0.099318,0.330564,0.425425,0.128347,0.112014,0.420249,0.349932,0.878150
20,0.562683,0.283445,0.291188,0.907019,0.177286,0.880192,0.104116,0.030430,0.247759,0.293900,0.514398
21,0.710999,0.904505,0.525003,0.567986,0.554426,0.036652,0.172084,0.002316,0.244536,0.361196,0.394953
22,0.495863,0.975079,0.889883,0.428570,0.740700,0.313504,0.383874,0.582473,0.391381,0.968537,0.191295
23,0.508700,0.379564,0.233588,0.161037,0.796880,0.726339,0.565433,0.708867,0.169119,0.218595,0.551444
24,0.837043,0.177773,0.226420,0.765331,0.123886,0.232818,0.000001,0.000128,0.379815,0.083040,0.636442
25,0.189326,0.861860,0.951116,0.896743,0.896481,0.069150,0.000420,0.000023,0.027982,0.054442,0.625819
26,0.994558,0.494788,0.192012,0.299169,0.610670,0.408770,0.518837,0.062665,0.568118,0.047756,0.893710
27,0.983925,0.005932,0.006268,0.968944,0.008111,0.826404,0.005609,0.000008,0.484120,0.301233,0.114088
28,0.975115,0.567330,0.325476,0.363646,0.475992,0.309939,0.183145,0.253841,0.505432,0.245330,0.209571
29,0.473044,0.004237,0.042473,0.979293,0.024719,0.710880,0.075235,0.007541,0.342002,0.007490,0.462404
30,0.007446,0.149990,0.085413,0.508059,0.097427,0.987503,0.001520,0.768240,0.478115,0.365972,0.623087
31,0.862727,0.069716,0.134926,0.541893,0.080470,0.793312,0.679138,0.392645,0.688266,0.629684,0.039095
32,0.493747,0.908523,0.867641,0.866025,0.867467,0.723341,0.056511,0.613315,0.770848,0.013650,0.645372
33,0.188006,0.675156,0.592295,0.305250,0.416930,0.036776,0.045170,0.015175,0.979957,0.602114,0.379238
34,0.843757,0.689711,0.601154,0.317657,0.923388,0.424614,0.061922,0.001531,0.994288,0.026398,0.190405
35,0.009377,0.301494,0.123870,0.706654,0.211239,0.306907,0.044477,0.279599,0.784482,0.331662,0.202910
36,0.923800,0.353562,0.429357,0.845655,0.266322,0.494847,0.102725,0.128422,0.277055,0.967552,0.045739
37,0.020235,0.647564,0.646258,0.585710,0.506255,0.344046,0.060946,0.043951,0.245267,0.384010,0.563188
38,0.882794,0.958814,0.877833,0.153422,0.799064,0.402879,0.266516,0.512305,0.238640,0.610606,0.795959
39,0.383970,0.009151,0.007899,0.785213,0.006077,0.704308,0.474143,0.155262,0.166367,0.620141,0.099428
