,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.916122,0.813097,0.840418,0.603685,0.751408,0.328152,0.732846,0.271078,0.549095,0.497160,0.286858
1,0.022721,0.928349,0.845262,0.275657,0.596864,0.254168,0.580641,0.985866,0.231890,0.170006,0.106179
2,0.700928,0.836758,0.445139,0.516412,0.656997,0.337587,0.860367,0.092817,0.621658,0.715419,0.733614
3,0.985472,0.506280,0.478975,0.248084,0.312616,0.845968,0.590743,0.066810,0.865784,0.284379,0.803650
4,0.965064,0.330611,0.202394,0.649671,0.208157,0.230935,0.367836,0.800271,0.572984,0.211023,0.857787
5,0.078798,0.310428,0.264051,0.917311,0.205107,0.822258,0.047904,0.871730,0.199495,0.247570,0.601720
6,0.241175,0.096387,0.245014,0.559222,0.133124,0.711113,0.386714,0.740414,0.817320,0.209310,0.092211
7,0.927410,0.733538,0.406915,0.073305,0.412077,0.043061,0.351705,0.679706,0.317019,0.735714,0.084212
8,0.840728,0.758682,0.261161,0.687457,0.446749,0.320745,0.921846,0.379271,0.763699,0.114044,0.194998
9,0.000920,0.227065,0.158989,0.508059,0.220685,0.991289,0.405500,0.060020,0.984705,0.341573,0.986482
10,0.801561,0.048717,0.014727,0.023141,0.044026,0.415664,0.172113,0.430753,0.682909,0.467232,0.682750
11,0.764514,0.704309,0.326327,0.149719,0.377523,0.758451,0.054299,0.082483,0.318095,0.686680,0.040246
12,0.991388,0.059676,0.072692,0.002837,0.065992,0.955963,0.004971,0.655292,0.069446,0.107341,0.126014
13,0.261470,0.009564,0.002772,0.491567,0.005063,0.771981,0.783400,0.536176,0.652533,0.202154,0.983723
14,0.284529,0.821904,0.340182,0.559222,0.526363,0.222172,0.002031,0.491993,0.286349,0.620217,0.004116
15,0.750212,0.073964,0.055943,0.041600,0.046458,0.086602,0.022571,0.050538,0.770848,0.825350,0.529020
16,0.743241,0.968697,0.667243,0.299169,0.683792,0.670742,0.031663,0.616726,0.252067,0.814577,0.167030
17,0.270667,0.198305,0.276612,0.866025,0.154005,0.731465,0.021392,0.953564,0.854840,0.155657,0.740174
18,0.469390,0.347271,0.110305,0.640358,0.249662,0.936838,0.015233,0.376522,0.321580,0.903954,0.243471
19,0.761202,0.729555,0.522640,0.299169,0.734300,0.132360,0.002728,0.528325,0.118409,0.232572,0.027826
20,0.631946,0.510922,0.310428,0.755447,0.261486,0.370186,0.415210,0.465557,0.461712,0.038581,0.125332
21,0.169344,0.556274,0.780967,0.107565,0.413691,0.323031,0.674407,0.071440,0.695564,0.498444,0.821232
22,0.956930,0.673836,0.729555,0.937934,0.573532,0.014374,0.002954,0.007911,0.944409,0.814048,0.359387
23,0.711364,0.345488,0.190324,0.208089,0.760008,0.607453,0.338136,0.184678,0.933627,0.766579,0.042060
24,0.824370,0.436674,0.809294,0.212816,0.671373,0.274240,0.198752,0.452378,0.420249,0.671559,0.801814
25,0.129434,0.026030,0.041064,0.805236,0.031363,0.874450,0.008540,0.173976,0.797309,0.683132,0.305553
26,0.177746,0.593557,0.742821,0.132217,0.871920,0.316028,0.635373,0.257144,0.527115,0.723646,0.858268
27,0.515189,0.025722,0.075515,0.576816,0.042562,0.507037,0.409883,0.499178,0.234699,0.121182,0.340264
28,0.958372,0.245699,0.396991,0.258872,0.326364,0.452379,0.431205,0.395826,0.472406,0.137175,0.266052
29,0.013320,0.156101,0.299091,0.516412,0.215401,0.872561,0.208410,0.338687,0.795554,0.943104,0.060009
30,0.107895,0.131153,0.180981,0.242809,0.132395,0.966565,0.429757,0.195912,0.353819,0.015248,0.984759
31,0.731132,0.965777,0.963952,0.384570,0.719438,0.011619,0.261487,0.700978,0.007315,0.060734,0.331294
32,0.825849,0.548968,0.244330,0.567986,0.648838,0.852978,0.313382,0.646855,0.948523,0.742616,0.001410
33,0.104900,0.503968,0.556274,0.451626,0.389876,0.179697,0.097205,0.354769,0.382459,0.197496,0.860664
34,0.338555,0.367325,0.279633,0.896743,0.206120,0.507695,0.424393,0.019077,0.825313,0.961197,0.956809
