,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.464335,0.196573,0.178837,0.157194,0.202090,0.031169,0.154732,0.343769,0.830302,0.473916,0.243919
1,0.401568,0.341062,0.515591,0.071247,0.810008,0.907358,0.569592,0.391082,0.305763,0.235941,0.121747
2,0.169608,0.240257,0.294330,0.979293,0.156471,0.580662,0.038927,0.227385,0.014011,0.477736,0.247357
3,0.661931,0.009314,0.020032,0.603685,0.011731,0.557535,0.207859,0.098488,0.830302,0.179859,0.563245
4,0.216314,0.110305,0.140532,0.805236,0.125972,0.388936,0.608300,0.724149,0.747022,0.150624,0.225458
5,0.454947,0.099968,0.069960,0.227460,0.061541,0.462779,0.073868,0.169582,0.536004,0.035163,0.171567
6,0.716338,0.208956,0.353562,0.099318,0.194202,0.636668,0.101490,0.777910,0.649192,0.979336,0.081978
7,0.230619,0.937819,0.542920,0.726040,0.646805,0.196283,0.795892,0.417565,0.021334,0.282330,0.596819
8,0.357917,0.273616,0.299891,0.815296,0.162341,0.616510,0.068321,0.116099,0.033812,0.001612,0.083686
9,0.013332,0.582246,0.123870,0.330390,0.415309,0.798500,0.496555,0.152149,0.196491,0.010618,0.001178
10,0.579524,0.083407,0.182603,0.299169,0.120469,0.288361,0.221151,0.426936,0.090448,0.548366,0.361469
11,0.998985,0.410933,0.381473,0.237614,0.290132,0.407714,0.073789,0.445415,0.006379,0.403361,0.993865
12,0.018931,0.501663,0.455875,0.135585,0.453536,0.997581,0.550248,0.744970,0.916354,0.316315,0.255226
13,0.364239,0.019227,0.060968,0.475367,0.034858,0.328115,0.009009,0.056585,0.952845,0.009246,0.227139
14,0.203138,0.507438,0.256162,0.567986,0.441696,0.294700,0.008043,0.533976,0.590631,0.044535,0.251416
15,0.653698,0.068988,0.054942,0.018179,0.037627,0.347160,0.027054,0.027690,0.972553,0.023160,0.764828
16,0.552471,0.714939,0.558721,0.033308,0.371438,0.399683,0.369917,0.114284,0.916354,0.909026,0.179308
17,0.753266,0.831843,0.519108,0.631103,0.730043,0.396711,0.010808,0.139083,0.009530,0.785855,0.329642
18,0.477123,0.599884,0.440892,0.706654,0.847481,0.054672,0.630093,0.404925,0.652533,0.721515,0.936890
19,0.895782,0.190885,0.513253,0.649671,0.320818,0.825255,0.579853,0.873332,0.376909,0.372205,0.132240
20,0.510675,0.793929,0.704309,0.559222,0.515345,0.826093,0.927263,0.776905,0.190106,0.198895,0.590193
21,0.313626,0.016496,0.050351,0.958600,0.037888,0.192544,0.133720,0.915016,0.330189,0.059158,0.336696
22,0.463073,0.976537,0.859525,0.876244,0.730043,0.277089,0.567026,0.017879,0.944409,0.952770,0.515157
23,0.118348,0.114682,0.023652,0.330390,0.060759,0.488997,0.585165,0.638458,0.424105,0.917194,0.569762
24,0.489377,0.251936,0.120742,0.559222,0.132395,0.690165,0.002028,0.003370,0.045432,0.121055,0.323607
25,0.174318,0.035828,0.118059,0.989646,0.074764,0.733577,0.027755,0.538765,0.644268,0.668100,0.078846
26,0.994957,0.116173,0.178837,0.612765,0.128086,0.911062,0.466378,0.598782,0.412198,0.038371,0.153744
27,0.851540,0.082559,0.079242,0.051576,0.062729,0.277884,0.202294,0.429346,0.592505,0.013146,0.365759
28,0.223557,0.298294,0.287297,0.825387,0.362425,0.027052,0.685798,0.933721,0.282436,0.191866,0.914397
29,0.279320,0.016843,0.012207,0.459464,0.012114,0.059173,0.059929,0.451109,0.305223,0.182656,0.242994
30,0.786779,0.434575,0.414979,0.451626,0.268763,0.104621,0.006279,0.970997,0.090795,0.088827,0.025351
31,0.980056,0.383388,0.461307,0.413588,0.418555,0.806480,0.395022,0.286676,0.298350,0.212972,0.067118
