,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.156398,0.577252,0.336678,0.149719,0.307225,0.483936,0.173410,0.274147,0.816049,0.555413,0.711797
1,0.383029,0.481214,0.303911,0.099318,0.794698,0.410344,0.098198,0.074850,0.701828,0.200130,0.760707
2,0.016286,0.587260,0.365468,0.421040,0.349165,0.135576,0.071956,0.156617,0.795554,0.521643,0.374079
3,0.001799,0.791347,0.651486,0.927617,0.880838,0.794128,0.007888,0.622185,0.708829,0.925660,0.862483
4,0.074077,0.418031,0.226420,0.039069,0.247343,0.308063,0.986138,0.095961,0.549095,0.144178,0.162226
5,0.149572,0.454793,0.059676,0.585710,0.238217,0.791907,0.039718,0.049467,0.314166,0.025582,0.683633
6,0.068612,0.788760,0.806749,0.135585,0.667253,0.292159,0.277400,0.136599,0.893405,0.027390,0.646306
7,0.651991,0.366395,0.621616,0.499777,0.747119,0.530932,0.395197,0.639790,0.994288,0.781524,0.415089
8,0.242048,0.178305,0.171494,0.091584,0.130227,0.885246,0.960080,0.019326,0.978540,0.005629,0.942743
9,0.526890,0.412953,0.342828,0.659038,0.227148,0.090345,0.304443,0.582680,0.082794,0.974569,0.870847
10,0.345265,0.273616,0.317885,0.008427,0.174576,0.479043,0.911559,0.181488,0.785686,0.004054,0.990401
11,0.137906,0.046955,0.035828,0.305250,0.024358,0.416099,0.118918,0.165085,0.328186,0.303928,0.151761
12,0.054088,0.044915,0.328036,0.305250,0.372954,0.079773,0.520352,0.500085,0.885713,0.002038,0.592639
13,0.194183,0.393070,0.337552,0.567986,0.218560,0.797563,0.297375,0.556453,0.921979,0.000588,0.627927
14,0.557791,0.127469,0.113207,0.451626,0.083958,0.456584,0.011255,0.238666,0.651843,0.273077,0.009359
15,0.285243,0.692363,0.695016,0.384570,0.997743,0.598714,0.020269,0.129175,0.571852,0.952636,0.993540
16,0.125876,0.003871,0.001268,0.825387,0.002211,0.174823,0.543406,0.829958,0.770848,0.120925,0.616093
17,0.287868,0.421100,0.528559,0.006176,0.511699,0.452094,0.307440,0.656252,0.830156,0.808287,0.973965
18,0.103021,0.408921,0.146781,0.398920,0.372954,0.958781,0.540172,0.952801,0.152539,0.222177,0.494024
19,0.574665,0.446205,0.197149,0.287251,0.227148,0.105788,0.808584,0.322959,0.332520,0.033124,0.488248
20,0.097532,0.205356,0.151383,0.697031,0.123886,0.983688,0.015013,0.511310,0.529203,0.519339,0.158436
21,0.256483,0.085124,0.111386,0.795208,0.058840,0.803557,0.211019,0.063957,0.757137,0.277155,0.278248
22,0.149896,0.273616,0.144075,0.716324,0.218560,0.803235,0.057066,0.397249,0.711557,0.338719,0.622598
23,0.421034,0.573521,0.951846,0.989646,0.596864,0.897407,0.284869,0.150458,0.675715,0.099234,0.374549
24,0.692837,0.039696,0.032924,0.116345,0.023305,0.285625,0.384888,0.684879,0.003202,0.625760,0.795623
25,0.403068,0.906523,0.720255,0.687457,0.829798,0.659877,0.071785,0.938261,0.078170,0.021966,0.210966
26,0.767801,0.078430,0.064074,0.336879,0.049327,0.265716,0.000399,0.073543,0.518793,0.210275,0.353128
27,0.114271,0.169442,0.254747,0.907019,0.186543,0.240403,0.441160,0.563988,0.112455,0.100978,0.764603
28,0.620506,0.306342,0.207150,0.384570,0.377523,0.524205,0.793485,0.776547,0.473078,0.884433,0.130754
29,0.054316,0.910504,0.887728,0.398920,0.975180,0.396165,0.819632,0.542533,0.392058,0.675502,0.735655
30,0.128629,0.230961,0.298294,0.845655,0.154823,0.573401,0.808169,0.767312,0.950382,0.687975,0.414630
31,0.666732,0.892023,0.965777,0.436178,0.659043,0.474518,0.213966,0.809193,0.135932,0.103935,0.959978
32,0.346302,0.048896,0.071439,0.299169,0.044324,0.131986,0.704101,0.234732,0.166467,0.045538,0.535061
33,0.110230,0.676477,0.679120,0.110431,0.840841,0.852521,0.646589,0.195061,0.027982,0.608649,0.693620
34,0.003206,0.534516,0.284212,0.896743,0.292719,0.394923,0.394570,0.488129,0.216796,0.057175,0.721335
35,0.622262,0.726898,0.415995,0.061652,0.463825,0.705893,0.888178,0.157955,0.363126,0.135528,0.789680
36,0.291828,0.946614,0.901443,0.585710,0.943628,0.179987,0.228321,0.160573,0.403900,0.685876,0.812122
37,0.077484,0.484585,0.908523,0.028291,0.528211,0.972742,0.495841,0.540848,0.770848,0.006247,0.922840
38,0.252552,0.859525,0.541715,0.735800,0.725795,0.572547,0.648187,0.429277,0.933627,0.614763,0.658378
39,0.900147,0.063173,0.056755,0.855828,0.041139,0.757969,0.454643,0.837851,0.785686,0.024372,0.713662
40,0.032128,0.104001,0.098653,0.305250,0.063532,0.894696,0.986666,0.315528,0.579313,0.332986,0.581200
41,0.729835,0.359021,0.255454,0.845655,0.211239,0.016822,0.181977,0.576072,0.602312,0.569265,0.276608
42,0.338941,0.074995,0.185331,0.735800,0.164906,0.851606,0.066397,0.549200,0.820055,0.002169,0.103356
43,0.316745,0.055943,0.344600,0.491567,0.198117,0.903647,0.554326,0.511934,0.290957,0.145080,0.807975
44,0.322140,0.074736,0.256871,0.063480,0.143660,0.559651,0.620550,0.672348,0.042833,0.560255,0.945126
45,0.467283,0.047829,0.089549,0.067271,0.076628,0.513252,0.138331,0.192282,0.316267,0.071843,0.870813
46,0.418692,0.000660,0.000704,0.603685,0.000354,0.107776,0.641668,0.536222,0.309434,0.058599,0.345961
47,0.568124,0.533321,0.076300,0.269981,0.334798,0.000828,0.128735,0.626713,0.563101,0.750409,0.294554
48,0.188760,0.637140,0.978396,0.567986,0.659043,0.365801,0.304441,0.159779,0.111222,0.537682,0.570945
49,0.020727,0.413965,0.738844,0.264386,0.393002,0.620078,0.244657,0.010768,0.383706,0.050437,0.606671
50,0.976096,0.233588,0.598617,0.668459,0.592945,0.734675,0.832182,0.838730,0.025759,0.620903,0.341800
51,0.692461,0.760000,0.908523,0.917311,0.608689,0.444842,0.112178,0.051709,0.094105,0.034405,0.173258
52,0.111214,0.257582,0.680443,0.067271,0.443377,0.145033,0.003535,0.101370,0.993963,0.177552,0.608717
53,0.656581,0.047653,0.022265,0.069236,0.032264,0.339905,0.047746,0.230769,0.985186,0.654354,0.490386
54,0.093011,0.165898,0.317885,0.785213,0.223900,0.344986,0.137075,0.452632,0.234699,0.009632,0.000751
55,0.481768,0.577252,0.449413,0.499777,0.359452,0.742185,0.546367,0.500601,0.179120,0.290673,0.988755
56,0.390711,0.409926,0.596084,0.467378,0.416930,0.071585,0.648915,0.332837,0.502065,0.213655,0.981618
57,0.516317,0.013761,0.012526,0.835507,0.012114,0.083269,0.001619,0.027532,0.039834,0.333585,0.785509
58,0.807887,0.269906,0.412953,0.370540,0.816592,0.030444,0.159954,0.778472,0.891422,0.407301,0.093959
59,0.962791,0.011793,0.018300,0.533330,0.010647,0.048319,0.264194,0.745552,0.011448,0.144635,0.825733
60,0.194183,0.679120,0.845262,0.886484,0.583201,0.602539,0.482695,0.269762,0.020980,0.295518,0.818460
61,0.199214,0.522640,0.520284,0.896743,0.997743,0.999736,0.363721,0.123306,0.379815,0.028996,0.036958
62,0.089318,0.003853,0.003042,0.248084,0.008599,0.728108,0.391237,0.097582,0.972553,0.752580,0.946092
