,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.344618,0.412953,0.706966,0.979293,0.371438,0.014780,0.361698,0.407570,0.708829,0.859907,0.279725
1,0.614679,0.027513,0.071938,0.815296,0.037368,0.447327,0.070619,0.438355,0.711039,0.312838,0.656719
2,0.772576,0.458043,0.374822,0.317657,0.907680,0.146496,0.004807,0.321494,0.779133,0.053036,0.743869
3,0.429048,0.583497,0.341062,0.677932,0.749262,0.891571,0.790757,0.519082,0.330189,0.941492,0.641033
4,0.919572,0.172011,0.512087,0.082032,0.288844,0.428943,0.050000,0.332320,0.650971,0.978422,0.331490
5,0.886783,0.454793,0.639741,0.264386,0.408860,0.517174,0.229941,0.176000,0.695336,0.731444,0.501155
6,0.043322,0.141852,0.405915,0.483430,0.259091,0.595065,0.083121,0.743799,0.208075,0.826793,0.782820
7,0.350722,0.432483,0.793929,0.745603,0.679643,0.497062,0.154903,0.162181,0.755848,0.136135,0.021223
8,0.123945,0.205952,0.458043,0.153422,0.246189,0.965629,0.197565,0.350701,0.756956,0.177896,0.237338
9,0.969373,0.770513,0.270645,0.968944,0.426737,0.729240,0.848875,0.345189,0.865784,0.113008,0.583274
10,0.061135,0.295911,0.562402,0.896743,0.337641,0.729378,0.804404,0.254502,0.755848,0.562907,0.136050
11,0.676637,0.958814,0.552614,0.631103,0.626620,0.036064,0.736702,0.726211,0.582349,0.792259,0.906779
12,0.456066,0.736192,0.834306,0.350100,0.827594,0.517084,0.071933,0.812229,0.248998,0.054076,0.949478
13,0.831956,0.914410,0.898342,0.227460,0.981947,0.539434,0.169666,0.278039,0.274004,0.713100,0.468185
14,0.646850,0.577252,0.788760,0.989646,0.818789,0.321510,0.030013,0.653790,0.528960,0.130965,0.458656
15,0.944483,0.959477,0.905516,0.125678,0.927882,0.422145,0.075318,0.688631,0.635037,0.528203,0.047041
16,0.599116,0.438780,0.671197,0.550524,0.500842,0.151018,0.033305,0.283744,0.531808,0.401243,0.501869
17,0.109708,0.889883,0.718926,0.907019,0.508066,0.416327,0.806067,0.404304,0.469223,0.936384,0.410730
18,0.248654,0.254747,0.455875,0.755447,0.231531,0.334325,0.081515,0.634147,0.239053,0.234059,0.235349
19,0.965008,0.987264,0.983782,0.640358,0.779467,0.113437,0.451578,0.225011,0.677300,0.027963,0.448302
20,0.715250,0.205952,0.143628,0.603685,0.368418,0.762641,0.081803,0.380914,0.563101,0.534527,0.568676
21,0.307677,0.791347,0.722913,0.142517,0.708886,0.774548,0.187693,0.259090,0.328980,0.616492,0.775714
22,0.420896,0.558721,0.748116,0.516412,0.836420,0.060542,0.002816,0.737102,0.695336,0.698345,0.662321
23,0.672149,0.787464,0.476743,0.293169,0.727918,0.132236,0.010860,0.788403,0.706758,0.092974,0.556615
24,0.619559,0.438780,0.540511,0.059867,0.898719,0.285789,0.300678,0.633031,0.214720,0.700468,0.527357
25,0.183895,0.878948,0.718926,0.096684,0.654953,0.867923,0.333887,0.622790,0.625593,0.154086,0.735559
26,0.020864,0.536909,0.093851,0.467378,0.377523,0.597877,0.061342,0.580690,0.621658,0.998622,0.957221
27,0.301047,0.684412,0.198885,0.968944,0.479500,0.032023,0.000595,0.151991,0.331783,0.095303,0.493482
28,0.998186,0.546544,0.769202,0.198864,0.740700,0.641409,0.032285,0.081057,0.803379,0.689920,0.186556
29,0.081949,0.098001,0.105375,0.377515,0.090222,0.142425,0.724397,0.385107,0.907783,0.935606,0.478988
30,0.448517,0.131568,0.147692,0.398920,0.098575,0.191897,0.520732,0.978521,0.620560,0.936057,0.187592
31,0.672663,0.668561,0.951116,0.264386,0.732171,0.805533,0.021178,0.538327,0.785064,0.400791,0.487479
32,0.107638,0.728227,0.617758,0.805236,0.679643,0.330624,0.005222,0.054890,0.250225,0.014987,0.190509
33,0.099519,0.825648,0.921057,0.122504,0.903198,0.941885,0.384806,0.480928,0.255944,0.465565,0.185053
34,0.153001,0.059890,0.084548,0.071247,0.056971,0.624346,0.802628,0.257234,0.220503,0.401180,0.743093
35,0.659064,0.582246,0.698997,0.927617,0.898719,0.788382,0.287255,0.016368,0.703140,0.995505,0.360299
36,0.051889,0.786167,0.828133,0.755447,0.677572,0.512824,0.113228,0.978530,0.266330,0.809818,0.087117
37,0.471357,0.901443,0.994605,0.815296,0.764320,0.459548,0.132398,0.675832,0.092011,0.968312,0.215183
38,0.871906,0.090761,0.090153,0.491567,0.048354,0.288147,0.003273,0.164865,0.214720,0.740808,0.225221
39,0.704015,0.887728,0.907525,0.377515,0.925635,0.446591,0.109449,0.221214,0.319193,0.252002,0.866943
40,0.024637,0.328036,0.203575,0.795208,0.176379,0.357999,0.256381,0.258833,0.720321,0.610840,0.180976
41,0.324789,0.068747,0.019545,0.775254,0.062729,0.967368,0.010818,0.998383,0.024638,0.650326,0.032870
42,0.724974,0.070696,0.043598,0.336879,0.052688,0.686978,0.032360,0.801955,0.233796,0.176487,0.077629
43,0.809839,0.852446,0.996161,0.866025,0.764320,0.102790,0.499130,0.021982,0.885713,0.581174,0.082344
44,0.104774,0.526187,0.571041,0.805236,0.517173,0.452615,0.077335,0.057707,0.956974,0.123341,0.943941
45,0.383029,0.164397,0.070943,0.677932,0.083452,0.713378,0.000360,0.947162,0.805494,0.503545,0.937259
46,0.971094,0.411942,0.215066,0.281413,0.730043,0.158157,0.016822,0.759096,0.907783,0.157250,0.062578
47,0.541103,0.080060,0.084548,0.726040,0.049654,0.908678,0.084792,0.075208,0.338246,0.543248,0.283960
48,0.861539,0.023368,0.128280,0.716324,0.083958,0.336600,0.236564,0.156781,0.012886,0.035472,0.389831
49,0.287868,0.619043,0.284212,0.499777,0.340499,0.233695,0.000179,0.002997,0.816049,0.109743,0.818926
50,0.806120,0.885556,0.977010,1.000000,0.871920,0.156929,0.021185,0.682212,0.152511,0.788188,0.359421
51,0.947151,0.461307,0.608793,0.185594,0.860795,0.438866,0.015569,0.489136,0.464056,0.854099,0.631826
52,0.600899,0.319560,0.128687,0.896743,0.170130,0.459390,0.040972,0.044510,0.359262,0.138358,0.466599
53,0.058508,0.760000,0.937819,0.855828,0.669312,0.662590,0.091670,0.024497,0.091716,0.604556,0.182698
54,0.773546,0.037504,0.034614,0.122504,0.036854,0.455592,0.001932,0.308557,0.404128,0.146640,0.695597
55,0.860744,0.962704,0.648870,0.989646,0.636679,0.800164,0.028855,0.383907,0.869945,0.327604,0.684877
56,0.560029,0.187537,0.712281,0.896743,0.375996,0.896304,0.024352,0.198990,0.542288,0.613861,0.891312
57,0.303249,0.424183,0.139221,0.659038,0.239345,0.374572,0.586485,0.239172,0.703140,0.346706,0.684502
58,0.138059,0.027405,0.049256,0.567986,0.024719,0.831790,0.032398,0.275085,0.107581,0.714107,0.174811
59,0.405934,0.825648,0.802920,0.687457,0.669312,0.871340,0.025193,0.680162,0.132586,0.096805,0.253570
60,0.875265,0.231616,0.683089,0.065353,0.528211,0.266164,0.023786,0.352151,0.602041,0.017615,0.803423
61,0.125876,0.030112,0.033308,0.157194,0.022126,0.789452,0.000424,0.554014,0.905045,0.406641,0.366956
62,0.562544,0.058829,0.070696,0.065353,0.037110,0.518220,0.027837,0.803513,0.214561,0.439726,0.073815
63,0.996675,0.859525,0.949639,0.336879,0.896481,0.263865,0.009919,0.075749,0.380995,0.524534,0.833258
