,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.502351,0.491372,0.910504,0.467378,0.632647,0.790842,0.000378,0.665553,0.046468,0.830050,0.395460
1,0.405661,0.481214,0.439835,0.293169,0.285004,0.062143,0.330631,0.024141,0.444682,0.222210,0.379744
2,0.229451,0.893087,0.528559,0.128915,0.630635,0.668630,0.012326,0.078652,0.321855,0.669074,0.106115
3,0.630069,0.430397,0.887728,0.516412,0.598827,0.143718,0.605049,0.245787,0.502366,0.696587,0.328978
4,0.907943,0.375767,0.137921,0.594666,0.285004,0.829953,0.148103,0.726132,0.907783,0.686761,0.093413
5,0.353986,0.363617,0.275861,0.413588,0.230430,0.435231,0.088050,0.563932,0.773291,0.445533,0.394218
6,0.720312,0.329751,0.582246,0.237614,0.736431,0.449018,0.193662,0.096710,0.194949,0.099701,0.444213
7,0.086116,0.447272,0.545334,0.384570,0.903198,0.963698,0.461698,0.105165,0.784294,0.363907,0.490517
8,0.571884,0.697670,0.893087,0.311413,0.825390,0.961163,0.738016,0.075019,0.058667,0.279968,0.206905
9,0.940862,0.514421,0.887728,0.927617,0.675503,0.929370,0.918735,0.490391,0.179347,0.858378,0.489937
10,0.317620,0.286523,0.182061,0.958600,0.820988,0.491232,0.956641,0.418734,0.907783,0.959338,0.180630
11,0.111543,0.060535,0.125459,0.132217,0.069828,0.344967,0.955351,0.062946,0.770145,0.956339,0.520610
12,0.895847,0.859525,0.965777,0.350100,0.856352,0.507870,0.362650,0.683509,0.742506,0.438319,0.240370
13,0.622937,0.263326,0.439835,0.745603,0.282463,0.978880,0.733806,0.806716,0.068457,0.051126,0.314396
14,0.314623,0.355375,0.298294,0.958600,0.186543,0.906896,0.362578,0.913075,0.132675,0.723943,0.037926
15,0.512086,0.892023,0.617758,0.550524,0.751408,0.831457,0.094417,0.050432,0.216437,0.292784,0.011495
16,0.444471,0.769202,0.527372,0.094106,0.790338,0.841727,0.475990,0.206583,0.406652,0.831926,0.177582
17,0.557791,0.349060,0.799076,0.248084,0.589039,0.343465,0.910702,0.299553,0.664919,0.797199,0.047901
18,0.959554,0.445139,0.652795,0.659038,0.479500,0.050463,0.166242,0.659093,0.952845,0.310924,0.270068
19,0.576888,0.078970,0.091679,0.107565,0.049984,0.432190,0.058095,0.081825,0.727944,0.823013,0.113002
20,0.473606,0.444075,0.726898,0.735800,0.744977,0.141923,0.171834,0.173919,0.296109,0.032711,0.926673
21,0.169785,0.343713,0.455875,0.237614,0.871920,0.581339,0.475712,0.070463,0.320866,0.036602,0.307312
22,0.906445,0.788760,0.809294,0.041600,0.981947,0.368689,0.849638,0.707464,0.389481,0.673436,0.874878
23,0.891080,0.106416,0.205356,0.406215,0.145999,0.986187,0.258262,0.545171,0.093876,0.247276,0.240626
24,0.626172,0.823154,0.449413,0.491567,0.511699,0.356570,0.203599,0.021942,0.435982,0.083849,0.692752
25,0.998913,0.245014,0.062504,0.079775,0.167503,0.745098,0.745094,0.003984,0.838321,0.084489,0.747931
26,0.630069,0.371060,0.561173,0.835507,0.420184,0.619678,0.826052,0.028281,0.756956,0.780171,0.387896
27,0.474872,0.505123,0.161429,0.541893,0.420184,0.820742,0.251100,0.368372,0.059865,0.028515,0.294858
28,0.245559,0.444075,0.465683,0.755447,0.297940,0.739671,0.991961,0.471128,0.389481,0.621699,0.050488
29,0.703522,0.089549,0.017558,0.181319,0.045228,0.513752,0.414339,0.244401,0.913963,0.036851,0.793667
30,0.158326,0.326327,0.596084,0.765331,0.481259,0.181708,0.103940,0.277476,0.753509,0.423859,0.938491
31,0.629667,0.656727,0.780967,0.948263,0.571608,0.419810,0.850865,0.269601,0.708829,0.467006,0.048564
32,0.703768,0.106068,0.108877,0.640358,0.062331,0.700364,0.825202,0.411006,0.091716,0.432123,0.078696
33,0.924573,0.281916,0.566096,0.612765,0.499044,0.298087,0.783609,0.651771,0.133325,0.335893,0.728276
34,0.336501,0.973049,0.904505,0.317657,0.805626,0.867196,0.803442,0.309885,0.571852,0.706846,0.262284
35,0.686803,0.264778,0.399950,0.189943,0.823189,0.116298,0.521889,0.070452,0.719222,0.948075,0.221059
36,0.501364,0.659352,0.712281,0.305250,0.932378,0.835656,0.186741,0.167738,0.956974,0.708879,0.000750
37,0.419243,0.049619,0.042792,0.825387,0.049001,0.230363,0.455380,0.637321,0.461791,0.448542,0.953634
38,0.998862,0.497073,0.448342,0.451626,0.259091,0.526021,0.055158,0.777193,0.481427,0.776509,0.093664
39,0.558491,0.184236,0.333201,0.594666,0.265108,0.513157,0.751827,0.642231,0.219215,0.536341,0.265424
40,0.952149,0.535712,0.819398,0.687457,0.755704,0.241285,0.468939,0.008184,0.185772,0.467367,0.984818
41,0.706842,0.535712,0.555052,0.258872,0.981947,0.383883,0.789675,0.731901,0.478351,0.970669,0.805053
42,0.857368,0.045586,0.050535,0.421040,0.034133,0.406462,0.576469,0.144553,0.584474,0.601271,0.422574
43,0.522662,0.172011,0.249844,1.000000,0.141350,0.234282,0.421343,0.013479,0.955277,0.237000,0.360178
44,0.545879,0.167409,0.212605,0.293169,0.164906,0.852712,0.520037,0.161212,0.848382,0.528275,0.619893
45,0.683387,0.968697,0.968697,0.927617,1.000000,0.277103,0.302897,0.756726,0.075725,0.099734,0.168890
46,0.745766,0.197726,0.357195,0.927617,0.285004,0.270940,0.012742,0.468841,0.194863,0.228705,0.331275
47,0.916177,0.354468,0.314554,0.005267,0.948131,0.463663,0.571796,0.186482,0.277055,0.274930,0.025403
48,0.449215,0.701652,0.912467,0.275657,0.807816,0.010763,0.794093,0.203216,0.055918,0.856287,0.055646
49,0.431403,0.030112,0.025518,0.168934,0.023133,0.955088,0.358730,0.207503,0.582349,0.474974,0.004348
50,0.986667,0.643648,0.567330,0.948263,0.415309,0.746455,0.054124,0.184816,0.404625,0.609346,0.612762
51,0.723663,0.529747,0.309608,0.227460,0.305887,0.839000,0.112358,0.520914,0.820055,0.633605,0.201244
52,0.925188,0.704309,0.953288,0.034399,0.757855,0.728989,0.106442,0.642143,0.756956,0.840735,0.854120
53,0.123732,0.031552,0.067552,0.508059,0.038150,0.598370,0.000048,0.000025,0.635037,0.316492,0.044127
54,0.937685,0.708294,0.655416,0.585710,0.954889,0.229528,0.336725,0.034642,0.376909,0.067250,0.740096
55,0.125660,0.414979,0.262603,0.032248,0.803437,0.845499,0.012159,0.250750,0.525004,0.663079,0.084429
56,0.966144,0.762633,0.646258,0.524836,0.900958,0.051331,0.177522,0.670181,0.641873,0.215393,0.737824
57,0.698945,0.934452,0.889883,0.370540,0.840841,0.138956,0.213684,0.989716,0.855723,0.145200,0.689695
58,0.059728,0.652795,0.788760,0.585710,0.644774,0.200396,0.622951,0.291214,0.607486,0.704904,0.022583
