,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.466862,0.000000,0.000000,0.937934,0.000000,0.200114,0.632923,0.398098,0.177962,0.000000,0.340146
1,0.176117,0.000000,0.000000,0.907019,0.000000,0.843530,0.007283,0.039720,0.703140,0.000000,0.641547
2,0.583957,0.000001,0.000004,0.567986,0.000002,0.331671,0.047163,0.997173,0.650971,0.000000,0.175890
3,0.643541,0.000000,0.000000,0.054769,0.000000,0.399140,0.005210,0.345319,0.461447,0.000000,0.621597
4,0.379943,0.000000,0.000000,0.979293,0.000000,0.650219,0.003549,0.163112,0.646312,0.000000,0.178746
5,0.155565,0.000000,0.000000,0.697031,0.000000,0.427968,0.386569,0.472391,0.519720,0.000000,0.307539
6,0.903887,0.000000,0.000000,0.398920,0.000000,0.458799,0.025414,0.279175,0.233654,0.000000,0.184296
7,0.063897,0.000000,0.000000,0.533330,0.000000,0.561066,0.145404,0.289332,0.666848,0.000000,0.072329
8,0.593206,0.000000,0.000000,0.612765,0.000000,0.132809,0.019613,0.134318,0.727944,0.000000,0.239671
9,0.899195,0.000000,0.000000,0.907019,0.000000,0.942041,0.005175,0.587978,0.357423,0.000000,0.267513
10,0.270783,0.000000,0.000000,0.475367,0.000000,0.656648,0.017335,0.098617,0.695564,0.000000,0.195910
11,0.586170,0.000000,0.000000,0.281413,0.000000,0.377814,0.567538,0.211058,0.542459,0.000000,0.536816
12,0.404568,0.000000,0.000000,0.716324,0.000000,0.815137,0.073502,0.202467,0.662658,0.000000,0.953273
13,0.978473,0.000006,0.000003,0.805236,0.000003,0.293686,0.190546,0.040584,0.428250,0.000000,0.712405
14,0.556672,0.000000,0.000000,0.603685,0.000000,0.900570,0.006158,0.062523,0.869945,0.000000,0.295885
15,0.418967,0.000006,0.000006,0.735800,0.000004,0.240059,0.238882,0.157801,0.992201,0.000000,0.614738
16,0.775586,0.000153,0.000207,0.177118,0.000108,0.119783,0.000690,0.133413,0.442131,0.112878,0.865495
17,0.848694,0.000000,0.000000,0.269981,0.000000,0.634434,0.001995,0.365362,0.126375,0.000000,0.784213
18,0.988041,0.000000,0.000000,0.056427,0.000000,0.457119,0.000740,0.056592,0.171797,0.000000,0.217797
19,0.334835,0.000000,0.000000,0.677932,0.000000,0.166507,0.038446,0.815252,0.978540,0.000000,0.616897
20,0.767036,0.000000,0.000000,0.311413,0.000000,0.799329,0.005477,0.124926,0.106454,0.000000,0.386894
21,0.911409,0.000016,0.000020,0.054769,0.000011,0.013161,0.105889,0.569020,0.445365,0.000000,0.653609
22,0.165502,0.000000,0.000000,0.567986,0.000000,0.858471,0.128038,0.405153,0.880359,0.000000,0.432973
23,0.941837,0.000000,0.000000,0.541893,0.000000,0.247111,0.078089,0.725294,0.797309,0.000000,0.360002
24,0.679956,0.000002,0.000002,0.917311,0.000001,0.440952,0.046751,0.180813,0.359794,0.000000,0.919303
25,0.375796,0.000000,0.000000,0.917311,0.000000,0.749168,0.012120,0.100298,0.564248,0.000000,0.361619
26,0.508277,0.000125,0.000106,0.524836,0.000081,0.275721,0.002942,0.880374,0.216437,0.959932,0.493067
27,0.318497,0.000000,0.000000,0.726040,0.000000,0.380451,0.280848,0.031119,0.426177,0.000000,0.837781
28,0.344230,0.000000,0.000000,0.726040,0.000000,0.838297,0.020940,0.130847,0.869945,0.000000,0.986441
29,0.973882,0.000000,0.000000,0.896743,0.000000,0.403332,0.016636,0.092245,0.916354,0.000000,0.215170
30,0.137065,0.001948,0.001725,0.649671,0.001143,0.910202,0.371622,0.201571,0.490769,0.047169,0.155199
31,0.635824,0.000000,0.000000,0.855828,0.000000,0.629124,0.008356,0.002083,0.803379,0.000000,0.998178
32,0.732543,0.000000,0.000000,0.508059,0.000000,0.199544,0.021271,0.165925,0.404128,0.000000,0.675892
33,0.248654,0.000000,0.000000,0.436178,0.000000,0.232192,0.177360,0.011203,0.368309,0.000000,0.344351
34,0.578415,0.000000,0.000000,0.248084,0.000000,0.013027,0.022175,0.004585,0.602041,0.000000,0.119172
35,0.579386,0.000000,0.000000,0.377515,0.000000,0.907978,0.407078,0.985925,0.727944,0.000000,0.648167
36,0.172620,0.000000,0.000000,0.775254,0.000000,0.063637,0.096375,0.399918,0.664131,0.000000,0.970558
37,0.465598,0.000002,0.000014,0.287251,0.000022,0.440433,0.769459,0.691549,0.389481,0.000000,0.358402
38,0.598430,0.000006,0.000013,0.258872,0.000014,0.438457,0.052354,0.843785,0.371765,0.000000,0.328237
39,0.067161,0.000002,0.000003,0.227460,0.000002,0.585526,0.569162,0.940015,0.490163,0.000000,0.832140
40,0.555972,0.000000,0.000000,0.451626,0.000000,0.728613,0.048024,0.040948,0.977743,0.000000,0.079884
41,0.676126,0.000000,0.000000,0.237614,0.000000,0.186371,0.026555,0.088739,0.831988,0.000000,0.146991
42,0.528158,0.000011,0.000009,0.061652,0.000006,0.339881,0.000761,0.050717,0.675715,0.000000,0.500956
43,0.702905,0.000010,0.000013,0.185594,0.000009,0.831003,0.169890,0.919867,0.952845,0.000000,0.780591
44,0.657105,0.000000,0.000000,0.958600,0.000000,0.169045,0.425529,0.138241,0.136389,0.000000,0.057199
45,0.976905,0.000000,0.000000,0.459464,0.000000,0.058269,0.008278,0.285439,0.770145,0.000000,0.919778
46,0.699813,0.000000,0.000000,0.029238,0.000000,0.902258,0.699708,0.678265,0.727944,0.000000,0.578911
47,0.240630,0.000000,0.000000,0.436178,0.000000,0.464148,0.037189,0.032170,0.434463,0.000000,0.683685
48,0.346821,0.000000,0.000000,0.866025,0.000000,0.837512,0.000650,0.222070,0.652533,0.000000,0.551575
49,0.226072,0.001503,0.003816,0.232498,0.002498,0.073683,0.148415,0.520857,0.314166,0.178709,0.521742
50,0.262953,0.000001,0.000001,0.398920,0.000000,0.438169,0.002296,0.497702,0.852752,0.000000,0.922230
51,0.812165,0.000021,0.000030,0.726040,0.000015,0.225256,0.111619,0.596883,0.081393,0.000000,0.033676
52,0.268699,0.000003,0.000002,0.281413,0.000003,0.967278,0.604133,0.018931,0.316557,0.000000,0.830790
53,0.102091,0.000000,0.000000,0.491567,0.000000,0.263545,0.090828,0.839105,0.971598,0.000000,0.279453
54,0.811972,0.000000,0.000000,0.716324,0.000000,0.192937,0.721116,0.169604,0.866476,0.000000,0.859632
55,0.222618,0.000002,0.000002,0.082032,0.000002,0.816599,0.425394,0.332442,0.461791,0.000000,0.571201
56,0.436399,0.000000,0.000000,0.048540,0.000000,0.494124,0.004450,0.172787,0.661642,0.000000,0.849893
57,0.479093,0.000000,0.000000,0.398920,0.000000,0.900863,0.010065,0.107275,0.817320,0.000000,0.173283
58,0.302514,0.000000,0.000000,0.203439,0.000000,0.263116,0.856994,0.671120,0.786208,0.000000,0.434478
59,0.265588,0.000000,0.000000,0.603685,0.000000,0.322214,0.040874,0.184910,0.661642,0.000000,0.197958
60,0.331133,0.000001,0.000001,0.585710,0.000000,0.363411,0.088305,0.226055,0.830156,0.000000,0.463597
61,0.512086,0.000536,0.000347,0.958600,0.000304,0.497779,0.349590,0.296324,0.899968,0.864075,0.244854
62,0.845300,0.000022,0.000018,0.687457,0.000014,0.161005,0.553522,0.095746,0.593037,0.000000,0.320881
63,0.812840,0.000000,0.000000,0.825387,0.000000,0.276207,0.646209,0.375907,0.612898,0.000000,0.030507
64,0.118555,0.000000,0.000000,0.765331,0.000000,0.479160,0.003560,0.099014,0.622015,0.000000,0.709817
65,0.635691,0.000000,0.000000,0.716324,0.000000,0.361989,0.018776,0.066789,0.701828,0.000000,0.146631
66,0.174408,0.000000,0.000000,0.621904,0.000000,0.508935,0.251851,0.420474,0.857420,0.000000,0.866917
67,0.813610,0.000000,0.000000,0.067271,0.000000,0.843293,0.004069,0.027295,0.352224,0.000000,0.084500
68,0.161632,0.000000,0.000000,0.745603,0.000000,0.731159,0.169770,0.186308,0.234341,0.000000,0.578772
69,0.869861,0.000000,0.000000,0.567986,0.000000,0.835392,0.020796,0.347731,0.037904,0.000000,0.273973
70,0.058065,0.000000,0.000000,0.281413,0.000000,0.739960,0.004305,0.259230,0.999594,0.000000,0.290995
71,0.401568,0.000001,0.000002,0.258872,0.000001,0.961793,0.150419,0.027313,0.649550,0.000000,0.171296
72,0.032727,0.000000,0.000000,0.533330,0.000000,0.009158,0.093120,0.771260,0.587352,0.000000,0.277955
73,0.864691,0.000000,0.000000,0.475367,0.000000,0.108099,0.683351,0.462983,0.719320,0.000000,0.581981
74,0.220229,0.000000,0.000000,0.061652,0.000000,0.169915,0.010912,0.152150,0.249853,0.000000,0.668796
75,0.338684,0.000000,0.000000,0.406215,0.000000,0.612842,0.098121,0.536474,0.635037,0.000000,0.792419
76,0.226598,0.000000,0.000000,0.785213,0.000000,0.761916,0.008557,0.367399,0.037837,0.000000,0.285640
77,0.214883,0.000016,0.000025,0.075413,0.000013,0.128542,0.243439,0.526271,0.547486,0.000000,0.725850
78,0.393146,0.000000,0.000000,0.550524,0.000000,0.065827,0.000480,0.018456,0.561873,0.000000,0.776386
79,0.515048,0.000000,0.000000,0.459464,0.000000,0.254182,0.078813,0.217301,0.529955,0.000000,0.405090
80,0.626845,0.000000,0.000000,0.128915,0.000000,0.468571,0.007483,0.574083,0.720321,0.000000,0.510059
81,0.380211,0.000000,0.000000,0.866025,0.000000,0.970981,0.012097,0.552509,0.221152,0.000000,0.191923
82,0.786259,0.000003,0.000001,0.475367,0.000003,0.769805,0.184463,0.842448,0.328186,0.000000,0.679910
83,0.342549,0.000000,0.000000,0.567986,0.000000,0.094813,0.008692,0.107437,0.499726,0.000000,0.752752
84,0.338426,0.000000,0.000000,0.541893,0.000000,0.845772,0.033360,0.018566,0.608714,0.000000,0.735220
85,0.124087,0.000000,0.000000,0.677932,0.000000,0.078816,0.199891,0.531370,0.431396,0.000000,0.286852
86,0.987208,0.000002,0.000002,0.775254,0.000001,0.977083,0.219817,0.612206,0.778748,0.000000,0.944130
87,0.787195,0.000000,0.000000,0.825387,0.000000,0.062852,0.000024,0.954665,0.519720,0.000000,0.585752
88,0.166631,0.000082,0.000093,0.212816,0.000049,0.885613,0.575422,0.166438,0.587352,0.000000,0.111901
89,0.218061,0.000000,0.000000,0.594666,0.000000,0.135242,0.000993,0.028563,0.108889,0.000000,0.398966
90,0.148360,0.000000,0.000000,0.363646,0.000000,0.716063,0.001369,0.108062,0.064640,0.000000,0.190539
91,0.863515,0.000000,0.000000,0.612765,0.000000,0.196678,0.009473,0.025586,0.422216,0.000000,0.557455
92,0.573553,0.000001,0.000001,0.009444,0.000001,0.292680,0.111416,0.453986,0.544438,0.000000,0.416516
93,0.827686,0.000000,0.000000,0.785213,0.000000,0.697819,0.015667,0.363100,0.361192,0.000000,0.427376
94,0.470514,0.000000,0.000000,0.293169,0.000000,0.928342,0.348022,0.255735,0.177962,0.000000,0.245524
95,0.691709,0.000024,0.000021,0.459464,0.000017,0.039734,0.088079,0.244587,0.756956,0.000000,0.351262
96,0.930599,0.000146,0.000205,0.948263,0.000105,0.874652,0.451313,0.534465,0.241510,0.490952,0.565517
97,0.340614,0.000000,0.000000,0.185594,0.000000,0.080166,0.000149,0.270646,0.445661,0.000000,0.998635
98,0.813225,0.000000,0.000000,0.391705,0.000000,0.996296,0.001607,0.608678,0.273615,0.000000,0.484956
99,0.571745,0.000000,0.000000,0.139018,0.000000,0.495956,0.003747,0.495926,0.604858,0.000000,0.056599
100,0.014310,0.000000,0.000000,0.281413,0.000000,0.572162,0.000032,0.005866,0.263435,0.000000,0.069957
101,0.318371,0.000000,0.000000,0.142517,0.000000,0.480870,0.465278,0.299196,0.999594,0.000000,0.449092
102,0.128483,0.000001,0.000001,0.524836,0.000001,0.161414,0.171912,0.361362,0.928672,0.000000,0.851427
103,0.923592,0.000010,0.000007,0.323983,0.000006,0.886607,0.508181,0.541260,0.379815,0.000000,0.154725
104,0.665825,0.000145,0.000147,0.697031,0.000191,0.009086,0.209379,0.415506,0.769649,0.317999,0.102746
105,0.595270,0.000000,0.000000,0.459464,0.000000,0.745817,0.007149,0.003355,0.095623,0.000000,0.789685
106,0.643143,0.000000,0.000000,0.805236,0.000000,0.500121,0.885770,0.986403,0.012141,0.000000,0.155960
107,0.252105,0.000000,0.000000,0.102009,0.000000,0.106601,0.283809,0.119071,0.999594,0.000000,0.598945
108,0.760869,0.000000,0.000000,0.805236,0.000000,0.054571,0.321800,0.325712,0.032715,0.000000,0.454528
109,0.491491,0.000001,0.000001,0.002010,0.000000,0.106063,0.258744,0.087975,0.267332,0.000000,0.319220
110,0.105153,0.000000,0.000000,0.384570,0.000000,0.584664,0.189824,0.451938,0.069332,0.000000,0.823550
111,0.950835,0.000000,0.000000,0.168934,0.000000,0.625660,0.414613,0.027950,0.590527,0.000000,0.530347
112,0.611825,0.000000,0.000000,0.323983,0.000000,0.636355,0.460772,0.420718,0.563101,0.000000,0.203039
113,0.381552,0.000000,0.000000,0.363646,0.000000,0.376412,0.129565,0.058657,0.830156,0.000000,0.708553
114,0.048118,0.000000,0.000000,0.979293,0.000000,0.662327,0.366311,0.379262,0.664919,0.000000,0.113568
115,0.025400,0.000141,0.000291,0.028291,0.000195,0.067013,0.137696,0.610229,0.774615,0.249721,0.424138
116,0.176117,0.000000,0.000000,0.989646,0.000000,0.969997,0.361661,0.886498,0.604858,0.000000,0.900108
117,0.315995,0.000011,0.000014,0.668459,0.000011,0.500906,0.082707,0.752630,0.260604,0.000000,0.854319
118,0.591001,0.000000,0.000000,0.058126,0.000000,0.096298,0.350985,0.495656,0.139728,0.000000,0.795653
119,0.527313,0.000000,0.000000,0.907019,0.000000,0.945440,0.003897,0.003116,0.250367,0.000000,0.251580
120,0.117936,0.000000,0.000000,0.785213,0.000000,0.383459,0.010681,0.022471,0.282445,0.000000,0.657303
121,0.139522,0.000000,0.000000,0.217619,0.000000,0.260564,0.105284,0.499541,0.727176,0.000000,0.354424
122,0.091463,0.000000,0.000000,0.406215,0.000000,0.033059,0.026918,0.180453,0.297346,0.000000,0.624209
123,0.445308,0.000005,0.000004,0.621904,0.000003,0.398274,0.127777,0.235939,0.608714,0.000000,0.846601
124,0.532242,0.001342,0.001770,0.099318,0.001644,0.901080,0.495375,0.514225,0.710530,0.604640,0.898719
125,0.275093,0.000000,0.000000,0.063480,0.000000,0.486580,0.000017,0.004758,0.387752,0.000000,0.674841
126,0.068749,0.000001,0.000002,0.305250,0.000001,0.463568,0.070752,0.111758,0.214561,0.000000,0.021336
127,0.624016,0.000000,0.000000,0.735800,0.000000,0.764250,0.360035,0.111005,0.727406,0.000000,0.499169
128,0.711973,0.000000,0.000000,0.785213,0.000000,0.067868,0.105279,0.001846,0.316557,0.000000,0.708404
129,0.280854,0.000000,0.000000,0.937934,0.000000,0.779100,0.022568,0.182117,0.442130,0.000000,0.195260
130,0.719471,0.000000,0.000000,0.363646,0.000000,0.133092,0.026249,0.020950,0.706758,0.000000,0.002403
131,0.002624,0.000000,0.000000,0.640358,0.000000,0.296665,0.105856,0.015157,0.078862,0.000000,0.085208
132,0.288108,0.000000,0.000000,0.132217,0.000000,0.259518,0.007913,0.236722,0.852752,0.000000,0.287297
133,0.457606,0.000000,0.000000,0.958600,0.000000,0.692730,0.045747,0.122407,0.918883,0.000000,0.461015
134,0.900840,0.000000,0.000000,0.550524,0.000000,0.512011,0.114160,0.286480,0.022989,0.000000,0.355965
135,0.571188,0.000000,0.000000,0.356832,0.000000,0.944162,0.009823,0.086527,0.706758,0.000000,0.123001
136,0.555972,0.000000,0.000000,0.051576,0.000000,0.838312,0.119530,0.159436,0.652533,0.000000,0.160721
137,0.621992,0.000001,0.000001,0.168934,0.000001,0.296760,0.709786,0.296217,0.042561,0.000000,0.432100
138,0.376330,0.000028,0.000027,0.968944,0.000018,0.646015,0.349195,0.789767,0.711039,0.000000,0.422167
139,0.842981,0.000477,0.000158,0.948263,0.000346,0.119072,0.017461,0.464334,0.267332,0.461400,0.170456
140,0.688442,0.000000,0.000000,0.330390,0.000000,0.848238,0.397743,0.694764,0.126218,0.000000,0.524616
141,0.127973,0.000001,0.000002,0.948263,0.000001,0.808880,0.012454,0.046605,0.027018,0.000000,0.528940
142,0.202941,0.000000,0.000000,0.706654,0.000000,0.743001,0.503856,0.469849,0.044170,0.000000,0.193739
143,0.220125,0.010766,0.022536,0.805236,0.011268,0.035801,0.726977,0.000472,0.043375,0.650440,0.348605
144,0.054430,0.000000,0.000000,0.139018,0.000000,0.376771,0.368209,0.414486,0.333268,0.000000,0.244035
145,0.589070,0.000000,0.000000,0.726040,0.000000,0.464453,0.242656,0.098348,0.842021,0.000000,0.369286
146,0.404022,0.000000,0.000000,0.795208,0.000000,0.801690,0.000047,0.031507,0.373183,0.000000,0.243092
147,0.373795,0.000000,0.000000,0.716324,0.000000,0.813617,0.049407,0.858480,0.433222,0.000000,0.700487
148,0.853692,0.000000,0.000000,0.317657,0.000000,0.725329,0.006998,0.050789,0.143866,0.000000,0.717751
149,0.755964,0.000000,0.000000,0.697031,0.000000,0.095246,0.027485,0.831904,0.274004,0.000000,0.776919
150,0.905111,0.000000,0.000000,0.091584,0.000000,0.452554,0.049728,0.188933,0.171797,0.000000,0.297352
151,0.633686,0.000002,0.000002,0.937934,0.000001,0.278264,0.897971,0.008006,0.316393,0.000000,0.160898
152,0.618747,0.000000,0.000000,0.091584,0.000000,0.262371,0.191868,0.237653,0.313544,0.000000,0.772184
153,0.781540,0.000000,0.000000,0.406215,0.000000,0.349335,0.031572,0.713578,0.060521,0.000000,0.904050
154,0.823721,0.000002,0.000004,0.001543,0.000002,0.356944,0.152879,0.051244,0.561873,0.000000,0.035737
155,0.525481,0.000010,0.000010,0.264386,0.000005,0.712447,0.000129,0.000014,0.127830,0.000000,0.927970
156,0.585755,0.000000,0.000000,0.825387,0.000000,0.164241,0.011222,0.145176,0.313544,0.000000,0.959808
157,0.898109,0.000000,0.000000,0.113357,0.000000,0.877713,0.089733,0.059568,0.427732,0.000000,0.001296
158,0.305706,0.000000,0.000000,0.406215,0.000000,0.683791,0.236372,0.435920,0.695336,0.000000,0.790125
159,0.339713,0.000000,0.000000,0.677932,0.000000,0.537068,0.261560,0.444590,0.505432,0.000000,0.068862
160,0.360941,0.000000,0.000000,0.735800,0.000000,0.709646,0.015167,0.325795,0.889964,0.000000,0.721072
161,0.908774,0.000006,0.000011,0.436178,0.000007,0.711754,0.378180,0.225464,0.738879,0.000000,0.601892
162,0.004117,0.000115,0.000151,0.149719,0.000080,0.112603,0.024758,0.579014,0.091307,0.285264,0.000987
163,0.160695,0.000000,0.000000,0.443864,0.000000,0.999176,0.006388,0.375252,0.436735,0.000000,0.713634
