,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.093415,0.168932,0.428319,0.237614,0.286280,0.395082,0.818763,0.818763,0.234699,0.953917,0.984405
1,0.827503,0.500513,0.387240,0.541893,0.632647,0.791965,0.172998,0.172998,0.889964,0.463628,0.653745
2,0.355949,0.601154,0.405915,0.030214,0.491889,0.850342,0.381691,0.381691,0.793213,0.227980,0.028912
3,0.870470,0.321242,0.383388,0.181319,0.396144,0.428820,0.809858,0.809858,0.574984,0.519664,0.976980
4,0.544475,0.860694,0.928349,0.146084,0.832004,0.194376,0.205947,0.205947,0.103071,0.656951,0.040248
5,0.888571,0.659352,0.910504,0.467378,0.775130,0.689381,0.708753,0.708753,0.108488,0.274984,0.671456
6,0.543632,0.695016,0.710952,0.293169,0.986460,0.976685,0.310026,0.310026,0.328980,0.441696,0.052241
7,0.011821,0.896252,0.762633,0.022367,0.876377,0.715321,0.866403,0.866403,0.774615,0.805599,0.526379
8,0.429048,0.513253,0.863023,0.585710,0.624617,0.731918,0.840153,0.840153,0.819458,0.575691,0.051934
9,0.119383,0.607517,0.569802,0.687457,0.966159,0.444276,0.979626,0.979626,0.052155,0.110661,0.125314
10,0.232752,0.786167,0.907525,0.027369,0.614641,0.212316,0.054217,0.054217,0.817320,0.095233,0.775560
11,0.666214,0.591034,0.716268,0.989646,0.589039,0.843441,0.700993,0.700993,0.570915,0.870018,0.454434
12,0.010180,0.620329,0.892023,0.010971,0.762163,0.022354,0.178404,0.178404,0.490357,0.037639,0.530619
13,0.797242,0.885556,0.602424,0.491567,0.642747,0.920720,0.530448,0.530448,0.046929,0.190241,0.832040
14,0.535057,0.039846,0.018759,0.621904,0.020378,0.217779,0.256798,0.256798,0.820055,0.133347,0.693077
15,0.901843,0.429357,0.599884,0.189943,0.488332,0.912826,0.702171,0.702171,0.158586,0.171224,0.880786
16,0.016651,0.295911,0.481214,0.311413,0.783810,0.646187,0.103088,0.103088,0.371272,0.694286,0.036686
17,0.847342,0.873339,0.782269,0.649671,0.916652,0.168165,0.805292,0.805292,0.008012,0.164911,0.576136
18,0.323778,0.410933,0.750761,0.508059,0.535636,0.295277,0.369002,0.369002,0.371272,0.172958,0.364167
19,0.202448,0.194282,0.406915,0.406215,0.316700,0.364333,0.782311,0.782311,0.256070,0.953759,0.546687
20,0.332790,0.853633,0.865339,0.177118,0.988717,0.769562,0.941549,0.941549,0.165033,0.912164,0.242744
21,0.572441,0.359937,0.024227,0.508059,0.184663,0.127554,0.678380,0.678380,0.472406,0.107459,0.910099
22,0.426004,0.035419,0.149528,0.855828,0.139069,0.351374,0.583700,0.583700,0.542459,0.010314,0.117244
23,0.093821,0.631950,0.324626,0.621904,0.333383,0.556243,0.891525,0.891525,0.144467,0.059397,0.527085
24,0.576888,0.428319,0.766577,0.269981,0.528211,0.668208,0.115311,0.115311,0.080007,0.081552,0.122267
