,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.339584,0.046096,0.073453,0.483430,0.062331,0.724041,0.855596,0.378021,0.739659,0.384072,0.140803
1,0.479656,0.852446,0.733538,0.451626,0.626620,0.484390,0.193802,0.824767,0.662658,0.079068,0.903548
2,0.904990,0.269169,0.697670,0.483430,0.374473,0.751672,0.935397,0.115475,0.530609,0.641947,0.917360
3,0.239759,0.275861,0.195424,0.135585,0.159805,0.451765,0.945934,0.394117,0.193533,0.102076,0.258113
4,0.997561,0.160450,0.580995,0.775254,0.486558,0.753141,0.521117,0.535885,0.014846,0.044551,0.169399
5,0.484022,0.040756,0.057784,0.330390,0.029204,0.042511,0.332508,0.829232,0.011378,0.114257,0.800674
6,0.966687,0.909516,0.802920,0.631103,0.896481,0.366705,0.493923,0.098661,0.149905,0.567784,0.508748
7,0.417315,0.090153,0.435623,0.795208,0.440019,0.848623,0.922649,0.985162,0.823028,0.274061,0.152156
8,0.313253,0.691037,0.316216,0.421040,0.407258,0.496237,0.558097,0.474227,0.104045,0.942855,0.695147
9,0.476419,0.118059,0.307972,0.491567,0.172787,0.397930,0.357760,0.339810,0.536004,0.581397,0.148898
10,0.756748,0.788760,0.734865,0.716324,0.589039,0.282598,0.074053,0.755523,0.300404,0.107444,0.001472
11,0.178019,0.436674,0.148608,0.716324,0.579324,0.224401,0.147086,0.056624,0.097570,0.673120,0.124273
12,0.754054,0.620329,0.372938,0.937934,0.755704,0.884428,0.598491,0.305678,0.629426,0.732273,0.807491
13,0.851623,0.628067,0.500513,0.508059,0.484789,0.708784,0.393563,0.473911,0.820055,0.941926,0.098265
14,0.257951,0.118820,0.160450,0.330390,0.108154,0.444086,0.244262,0.759763,0.490163,0.832644,0.477784
15,0.728180,0.622905,0.221317,0.172990,0.556322,0.028543,0.602582,0.270057,0.650971,0.304783,0.383954
16,0.452849,0.173567,0.247075,0.612765,0.309913,0.723374,0.001180,0.467563,0.695336,0.382873,0.795552
17,0.976402,0.225777,0.536909,0.370540,0.272454,0.655607,0.316187,0.450525,0.057757,0.839960,0.765660
18,0.777723,0.160450,0.643648,0.406215,0.363918,0.660172,0.285198,0.678284,0.078922,0.279198,0.005388
19,0.481346,0.001734,0.002588,0.350100,0.001612,0.313826,0.941546,0.713760,0.094912,0.694259,0.939025
20,0.785528,0.337552,0.499365,0.459464,0.272454,0.946137,0.263259,0.116612,0.128249,0.960753,0.274768
21,0.459147,0.769202,0.908523,0.311413,0.661092,0.937431,0.269992,0.848304,0.972553,0.618814,0.436541
22,0.840641,0.074220,0.115425,0.185594,0.123886,0.337630,0.923259,0.099320,0.549095,0.569332,0.915785
23,0.008972,0.305530,0.535712,0.212816,0.380589,0.739630,0.998392,0.064977,0.439267,0.514220,0.635235
24,0.143737,0.825648,0.385311,0.603685,0.513520,0.535336,0.409139,0.148028,0.167191,0.579737,0.988088
25,0.557651,0.650178,0.850062,0.765331,0.827594,0.281382,0.850589,0.173276,0.486604,0.446708,0.858716
26,0.766270,0.100964,0.207750,0.516412,0.127378,0.683160,0.770539,0.524223,0.918002,0.117018,0.012432
27,0.588932,0.024325,0.025014,0.745603,0.014649,0.462801,0.391745,0.628069,0.767399,0.405687,0.386006
28,0.383432,0.322085,0.368256,0.459464,0.285004,0.618711,0.895199,0.137726,0.261441,0.659920,0.560245
29,0.221162,0.646258,0.251936,0.835507,0.583201,0.400485,0.745098,0.151727,0.889964,0.695983,0.857584
30,0.125015,0.441951,0.201806,0.071247,0.232636,0.656663,0.630302,0.588514,0.319193,0.222059,0.207484
31,0.867717,0.310428,0.241609,0.253438,0.185601,0.774505,0.287802,0.355904,0.373183,0.689775,0.566105
32,0.451031,0.063848,0.053373,0.735800,0.052688,0.687195,0.839691,0.341403,0.320858,0.883344,0.143978
33,0.779530,0.236238,0.505123,0.508059,0.472498,0.096841,0.171577,0.012926,0.369041,0.552044,0.478387
34,0.054050,0.036518,0.101632,0.876244,0.060759,0.973162,0.200238,0.132165,0.525175,0.940833,0.646405
35,0.342937,0.607517,0.246386,0.659038,0.604736,0.474290,0.679415,0.839872,0.936069,0.231678,0.856988
36,0.150302,0.018225,0.046782,0.428570,0.027570,0.089254,0.117760,0.016632,0.587082,0.802182,0.718904
37,0.365429,0.756044,0.937819,0.436178,0.606711,0.761417,0.925298,0.146884,0.020937,0.504686,0.987114
38,0.699937,0.166904,0.138787,0.805236,0.089153,0.275827,0.011609,0.033631,0.568118,0.275621,0.009794
39,0.040426,0.237572,0.668561,0.248084,0.546871,0.196472,0.226704,0.391526,0.498052,0.293782,0.619111
40,0.783749,0.979727,0.970922,0.687457,0.979691,0.581239,0.868717,0.662891,0.969876,0.119124,0.067533
41,0.341904,0.700325,0.631950,0.937934,0.941377,0.408362,0.127366,0.206404,0.461712,0.925629,0.792901
42,0.151934,0.698997,0.749439,0.384570,0.887537,0.684230,0.614005,0.038420,0.978540,0.869670,0.145602
43,0.632482,0.954705,0.829372,0.896743,0.860795,0.321060,0.987211,0.988955,0.682909,0.089694,0.563125
44,0.738500,0.444075,0.552614,0.269981,0.438346,0.729703,0.754176,0.392914,0.196039,0.107348,0.459496
45,0.446424,0.693689,0.514421,0.398920,0.356494,0.990034,0.058637,0.973244,0.205763,0.193643,0.171630
46,0.847681,0.907525,0.978396,0.896743,0.801250,0.778683,0.688559,0.672451,0.255944,0.097981,0.473838
47,0.528017,0.336678,0.323777,0.866025,0.201091,0.063031,0.486100,0.102176,0.590527,0.308320,0.493341
48,0.091634,0.742821,0.883368,0.356832,0.702582,0.853027,0.268776,0.644529,0.207159,0.943464,0.763009
49,0.386393,0.459129,0.955405,0.232498,0.552532,0.562222,0.826314,0.580779,0.305223,0.860403,0.861355
50,0.704015,0.188648,0.215066,0.181319,0.136816,0.526073,0.028539,0.094008,0.711387,0.905199,0.980311
51,0.716942,0.615191,0.421100,0.745603,0.477744,0.233457,0.921481,0.058890,0.564248,0.096146,0.170730
52,0.637825,0.510922,0.630655,0.687457,0.448440,0.927496,0.888576,0.190710,0.757137,0.109848,0.183856
53,0.455367,0.506280,0.262603,0.053153,0.713100,0.299490,0.318929,0.016829,0.822825,0.122557,0.119454
54,0.132390,0.258295,0.285751,0.516412,0.160647,0.979483,0.420309,0.021533,0.305907,0.156456,0.556417
55,0.645130,0.621616,0.880059,0.649671,0.543113,0.358939,0.524925,0.164591,0.225366,0.659422,0.695788
56,0.569517,0.951116,0.808022,0.413588,0.845267,0.823313,0.628983,0.879351,0.259343,0.477778,0.321710
57,0.100983,0.763948,0.826891,0.028291,0.777297,0.859673,0.142997,0.715077,0.753509,0.592867,0.068553
58,0.116093,0.456958,0.679120,0.621904,0.796880,0.251747,0.859840,0.740836,0.739659,0.997818,0.400709
59,0.179385,0.072440,0.167409,0.398920,0.101493,0.171580,0.073133,0.268071,0.958849,0.886064,0.405879
60,0.839067,0.687061,0.503968,0.716324,0.592945,0.219423,0.675031,0.040430,0.379815,0.292904,0.937142
61,0.343971,0.162414,0.118059,0.305250,0.119123,0.262401,0.809347,0.557506,0.016677,0.956659,0.209776
62,0.698449,0.621616,0.802920,0.305250,0.845267,0.565661,0.773393,0.546166,0.739659,0.640760,0.544399
63,0.468266,0.647564,0.626775,0.917311,0.981947,0.996019,0.578627,0.529637,0.753509,0.287561,0.174681
64,0.399254,0.964566,0.965777,0.697031,0.997743,0.758497,0.721355,0.557987,0.865784,0.218560,0.584555
65,0.717183,0.995735,0.996801,0.567986,0.990973,0.361653,0.706680,0.664492,0.977743,0.504447,0.686264
66,0.596232,0.852446,0.676477,0.047079,0.847481,0.361869,0.668386,0.822251,0.854056,0.918938,0.451195
67,0.252552,0.864182,0.959477,0.022367,0.865242,0.246616,0.064113,0.391304,0.463822,0.301877,0.053291
68,0.062866,0.780967,0.357195,0.687457,0.571608,0.293694,0.200101,0.496288,0.607486,0.669641,0.127797
69,0.204919,0.211993,0.740170,0.594666,0.388319,0.600298,0.111726,0.828928,0.143700,0.168700,0.150257
