,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.027766,0.679120,0.551397,0.459464,0.887537,0.849754,0.531771,0.770898,0.039107,0.072491,0.874014
1,0.984374,0.977940,0.968125,0.845655,0.959396,0.541151,0.752908,0.683125,0.380995,0.344817,0.008659
2,0.208810,0.000281,0.000788,0.212816,0.000462,0.153048,0.013775,0.833190,0.798936,0.941082,0.543228
3,0.061764,0.422126,0.138787,0.253438,0.571608,0.892638,0.186170,0.464006,0.770145,0.135952,0.291337
4,0.562544,0.043924,0.037790,0.775254,0.030484,0.035241,0.444493,0.954014,0.120809,0.143146,0.039049
5,0.047194,0.046955,0.047129,0.232498,0.037888,0.105332,0.047522,0.716696,0.969876,0.900610,0.926667
6,0.532664,0.234910,0.125459,0.886484,0.136816,0.334750,0.498233,0.515153,0.442131,0.244915,0.343005
7,0.065513,0.113942,0.481214,0.735800,0.291424,0.718513,0.249067,0.270678,0.368309,0.387628,0.638676
8,0.784273,0.034880,0.034217,0.559222,0.023827,0.874973,0.512411,0.558131,0.739659,0.817806,0.470573
9,0.390441,0.141411,0.230961,0.917311,0.121147,0.659853,0.842840,0.441427,0.969876,0.745407,0.792365
10,0.498825,0.359937,0.449413,0.054769,0.242750,0.837542,0.891363,0.703232,0.152077,0.668657,0.034153
11,0.571188,0.050351,0.102304,0.467378,0.074304,0.414227,0.850094,0.737102,0.574984,0.703435,0.671076
12,0.437789,0.062727,0.053762,0.459464,0.054085,0.087551,0.982839,0.028028,0.948523,0.648541,0.507304
13,0.749076,0.561173,0.340182,0.735800,0.359452,0.177884,0.688041,0.482847,0.928672,0.090534,0.513550
14,0.402113,0.038368,0.038078,0.886484,0.032493,0.021966,0.504969,0.880845,0.266330,0.456458,0.864504
15,0.310397,0.383388,0.286523,1.000000,0.207137,0.510931,0.185574,0.584828,0.867954,0.490471,0.762348
16,0.726520,0.240932,0.177243,0.483430,0.880838,0.723191,0.377401,0.042538,0.341411,0.347695,0.115704
17,0.225232,0.071938,0.074995,0.805236,0.071147,0.168582,0.579325,0.522924,0.478115,0.757054,0.650837
18,0.445168,0.885556,0.738844,0.765331,0.867467,0.667731,0.694182,0.629735,0.731868,0.248485,0.678222
19,0.559469,0.172528,0.411942,0.499777,0.404064,0.271612,0.712100,0.273015,0.265649,0.172477,0.902140
20,0.539135,0.741496,0.577252,0.128915,0.430035,0.036876,0.696828,0.040514,0.641873,0.427249,0.542354
21,0.388010,0.907525,0.948138,0.168934,0.948131,0.412940,0.961786,0.610414,0.963019,0.816587,0.524930
22,0.014051,0.128280,0.115798,0.979293,0.133124,0.168402,0.367276,0.982986,0.604858,0.088688,0.412475
23,0.266393,0.071688,0.184236,0.323983,0.114505,0.675317,0.753635,0.292651,0.650971,0.908230,0.657593
24,0.053635,0.376714,0.420075,0.323983,0.950383,0.809574,0.831401,0.913697,0.823028,0.829802,0.594955
25,0.221578,0.098001,0.063848,0.370540,0.078051,0.262140,0.875833,0.764361,0.480782,0.280631,0.522578
26,0.344877,0.140094,0.251936,0.567986,0.133856,0.636648,0.917022,0.468541,0.376909,0.035071,0.775686
27,0.015191,0.036379,0.099968,0.855828,0.050984,0.939234,0.023701,0.082088,0.568118,0.430190,0.932183
28,0.400206,0.938647,0.608793,0.825387,0.700485,0.870520,0.099670,0.465632,0.119690,0.717479,0.613722
29,0.643010,0.925654,0.795218,0.948263,0.803437,0.772171,0.994563,0.568573,0.461791,0.509937,0.711995
30,0.811101,0.243647,0.180981,0.125678,0.144436,0.358878,0.231142,0.169246,0.266330,0.225047,0.462922
31,0.032327,0.447272,0.438780,0.006681,0.634662,0.453665,0.611222,0.872509,0.143700,0.056279,0.657220
32,0.567009,0.616474,0.302298,0.825387,0.320818,0.266520,0.042849,0.037388,0.518793,0.341205,0.548603
33,0.991634,0.105030,0.216926,0.835507,0.148366,0.360073,0.351280,0.990837,0.695564,0.760103,0.899014
34,0.480783,0.010038,0.015491,0.007804,0.008111,0.821734,0.462631,0.796516,0.554091,0.338353,0.144237
35,0.184639,0.042314,0.089549,0.018826,0.052688,0.523724,0.128582,0.529943,0.978540,0.568001,0.462808
36,0.204226,0.037362,0.037362,0.198864,0.053732,0.496775,0.661400,0.588378,0.505047,0.032524,0.396484
37,0.914158,0.031429,0.027731,0.886484,0.018752,0.918045,0.195558,0.162161,0.351941,0.034075,0.384158
38,0.145717,0.265506,0.184236,0.896743,0.145216,0.552815,0.244646,0.827339,0.979957,0.182853,0.606130
39,0.040757,0.064529,0.104343,0.421040,0.061541,0.370893,0.328380,0.343177,0.576238,0.854692,0.456245
40,0.128629,0.030944,0.013761,0.726040,0.029204,0.193228,0.883912,0.271174,0.822825,0.809178,0.256165
