,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs
0,0.214567,0.181876,0.138837,0.837419,0.099816,0.508384,0.117370,0.429129,0.722227,0.689639
1,0.483343,0.752768,0.818285,0.092452,0.942957,0.481300,0.226650,0.584668,0.724441,0.816128
2,0.990474,0.706611,0.889021,0.012301,0.837011,0.989106,0.525734,0.910663,0.792804,0.747601
3,0.555267,0.362215,0.607311,0.411770,0.371093,0.695559,0.469307,0.392065,0.062703,0.911687
4,0.318014,0.433749,0.272842,1.000000,0.441770,0.740597,0.774349,0.050248,0.019770,0.659270
5,0.476220,0.464227,0.563698,0.593681,0.531250,0.483720,0.164432,0.120584,0.062703,0.901737
6,0.123726,0.677266,0.147276,0.324654,0.400482,0.019601,0.371863,0.872442,0.659950,0.379015
7,0.674145,0.268167,0.336694,0.070962,0.207258,0.554057,0.380008,0.603784,0.686286,0.977132
8,0.085375,0.353555,0.673090,0.538167,0.385616,0.285396,0.031941,0.393618,0.005312,0.438460
9,0.197083,0.878626,0.740212,0.388786,0.865056,0.320354,0.064082,0.525030,0.686286,0.921522
10,0.682354,0.443754,0.607311,0.742675,0.844004,0.705641,0.381649,0.413410,0.793041,0.900212
11,0.795163,0.920890,0.947717,0.128902,0.964329,0.648847,0.839930,0.687440,0.257093,0.420834
12,0.837924,0.312534,0.506997,0.742675,0.271269,0.433878,0.659404,0.237704,0.588290,0.319070
13,0.471331,0.028513,0.007095,0.622387,0.021523,0.668500,0.279962,0.272181,0.963817,0.954646
14,0.987907,0.785929,0.567596,0.304902,0.519583,0.178974,0.209766,0.648977,0.282128,0.568282
15,0.445247,0.034703,0.386060,0.565597,0.207258,0.324521,0.322330,0.781764,0.057211,0.944413
16,0.249178,0.555942,0.243546,0.681519,0.641858,0.502817,0.440096,0.366437,0.312653,0.191926
17,0.473552,0.157648,0.292175,0.681519,0.227249,0.242502,0.444263,0.393679,0.038673,0.695697
18,0.332616,0.529263,0.398396,0.285964,0.865056,0.662368,0.456936,0.273378,0.437211,0.375966
19,0.733621,0.485312,0.423899,0.742675,0.579206,0.438396,0.648225,0.903971,0.542853,0.375152
20,0.004559,0.263553,0.187064,0.118881,0.147345,0.327804,0.124954,0.534116,0.793041,0.210641
21,0.342647,0.615400,0.830116,0.681519,0.747457,0.533538,0.694413,0.074013,0.214081,0.525702
22,0.250902,0.126925,0.207108,0.070962,0.119636,0.735200,0.457097,0.545119,0.594080,0.998494
23,0.866945,0.710813,0.648166,0.324654,0.693915,0.452881,0.999305,0.267390,0.007314,0.361966
24,0.389882,0.034284,0.036423,0.711865,0.018212,0.447651,0.071780,0.823137,0.718699,0.719065
25,0.890325,0.078481,0.203342,0.411770,0.132933,0.297002,0.135713,0.690973,0.605072,0.560191
